
=== SHEET: HuggingFace ===
category,model_id,model_name,likes,downloads,private,pipeline_tag,library_name,created_at,tags,gated,disabled
text-generation,Bingsu/adetailer,Bingsu/adetailer,592,18171739,No,,ultralytics,2023-04-26T00:58:45.000Z,ultralytics; pytorch; dataset:wider_face; dataset:skytnt/anime-segmentation; doi:10.57967/hf/3633; license:apache-2.0; region:us,No,No
text-generation,pyannote/segmentation-3.0,pyannote/segmentation-3.0,539,18071701,No,voice-activity-detection,pyannote-audio,2023-09-22T12:03:10.000Z,pyannote-audio; pytorch; pyannote; pyannote-audio-model; audio; voice; speech; speaker; speaker-diarization; speaker-change-detection; speaker-segmentation; voice-activity-detection; overlapped-speech-detection; resegmentation; license:mit; region:us,No,No
text-generation,pyannote/speaker-diarization-3.1,pyannote/speaker-diarization-3.1,1004,16605698,No,automatic-speech-recognition,pyannote-audio,2023-11-16T08:19:01.000Z,pyannote-audio; pyannote; pyannote-audio-pipeline; audio; voice; speech; speaker; speaker-diarization; speaker-change-detection; voice-activity-detection; overlapped-speech-detection; automatic-speech-recognition; arxiv:2111.14448; arxiv:2012.01477; license:mit; endpoints_compatible; region:us,No,No
text-generation,openai-community/gpt2,openai-community/gpt2,2865,14221467,No,text-generation,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; tflite; rust; onnx; safetensors; gpt2; text-generation; exbert; en; doi:10.57967/hf/0039; license:mit; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,FacebookAI/roberta-large,FacebookAI/roberta-large,239,12562908,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; onnx; safetensors; roberta; fill-mask; exbert; en; dataset:bookcorpus; dataset:wikipedia; arxiv:1907.11692; arxiv:1806.02847; license:mit; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,952,12503810,No,sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; tf; onnx; safetensors; openvino; bert; feature-extraction; sentence-similarity; transformers; multilingual; ar; bg; ca; cs; da; de; el; en; es; et; fa; fi; fr; gl; gu; he; hi; hr; hu; hy; id; it; ja; ka; ko; ku; lt; lv; mk; mn; mr; ms; my; nb; nl; pl; pt; ro; ru; sk; sl; sq; sr; sv; th; tr; uk; ur; vi; arxiv:1908.10084; license:apache-2.0; autotrain_compatible; text-embeddings-inference; endpoints_compatible; region:us,No,No
text-generation,google/electra-base-discriminator,google/electra-base-discriminator,61,12192573,No,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; rust; electra; pretraining; en; arxiv:1406.2661; license:apache-2.0; endpoints_compatible; region:us,No,No
text-generation,FacebookAI/xlm-roberta-base,FacebookAI/xlm-roberta-base,707,12179167,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; onnx; safetensors; xlm-roberta; fill-mask; exbert; multilingual; af; am; ar; as; az; be; bg; bn; br; bs; ca; cs; cy; da; de; el; en; eo; es; et; eu; fa; fi; fr; fy; ga; gd; gl; gu; ha; he; hi; hr; hu; hy; id; is; it; ja; jv; ka; kk; km; kn; ko; ku; ky; la; lo; lt; lv; mg; mk; ml; mn; mr; ms; my; ne; nl; no; om; or; pa; pl; ps; pt; ro; ru; sa; sd; si; sk; sl; so; sq; sr; su; sv; sw; ta; te; th; tl; tr; ug; uk; ur; uz; vi; xh; yi; zh; arxiv:1911.02116; license:mit; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,250,11920408,No,text-generation,transformers,2024-09-16T11:56:10.000Z,transformers; safetensors; qwen2; text-generation; chat; conversational; en; arxiv:2309.00071; arxiv:2407.10671; base_model:Qwen/Qwen2.5-14B; base_model:finetune:Qwen/Qwen2.5-14B; license:apache-2.0; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,openai/clip-vit-large-patch14,openai/clip-vit-large-patch14,1820,11364041,No,zero-shot-image-classification,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; safetensors; clip; zero-shot-image-classification; vision; arxiv:2103.00020; arxiv:1908.04913; endpoints_compatible; region:us,No,No
text-generation,distilbert/distilbert-base-uncased,distilbert/distilbert-base-uncased,733,10880150,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; rust; safetensors; distilbert; fill-mask; exbert; en; dataset:bookcorpus; dataset:wikipedia; arxiv:1910.01108; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,colbert-ir/colbertv2.0,colbert-ir/colbertv2.0,270,10282172,No,,transformers,2023-06-27T21:31:39.000Z,transformers; pytorch; onnx; safetensors; bert; ColBERT; en; arxiv:2004.12832; arxiv:2007.00814; arxiv:2101.00436; arxiv:2112.01488; arxiv:2205.09707; license:mit; endpoints_compatible; region:us,No,No
text-generation,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,4381,9826987,No,text-generation,transformers,2024-07-18T08:56:00.000Z,transformers; safetensors; llama; text-generation; facebook; meta; pytorch; llama-3; conversational; en; de; fr; it; pt; hi; es; th; arxiv:2204.05149; base_model:meta-llama/Llama-3.1-8B; base_model:finetune:meta-llama/Llama-3.1-8B; license:llama3.1; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,FacebookAI/roberta-base,FacebookAI/roberta-base,508,8777915,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; rust; safetensors; roberta; fill-mask; exbert; en; dataset:bookcorpus; dataset:wikipedia; arxiv:1907.11692; arxiv:1806.02847; license:mit; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,facebook/contriever,facebook/contriever,63,7825404,No,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; bert; arxiv:2112.09118; endpoints_compatible; region:us,No,No
text-generation,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Base,39,7519798,No,text-generation,transformers,2025-04-28T05:04:27.000Z,transformers; safetensors; qwen3; text-generation; conversational; arxiv:2505.09388; license:apache-2.0; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,google-bert/bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,516,7068843,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; safetensors; bert; fill-mask; multilingual; af; sq; ar; an; hy; ast; az; ba; eu; bar; be; bn; inc; bs; br; bg; my; ca; ceb; ce; zh; cv; hr; cs; da; nl; en; et; fi; fr; gl; ka; de; el; gu; ht; he; hi; hu; is; io; id; ga; it; ja; jv; kn; kk; ky; ko; la; lv; lt; roa; nds; lm; mk; mg; ms; ml; mr; mn; min; ne; new; nb; nn; oc; fa; pms; pl; pt; pa; ro; ru; sco; sr; scn; sk; sl; aze; es; su; sw; sv; tl; tg; th; ta; tt; te; tr; uk; ud; uz; vi; vo; war; cy; fry; pnb; yo; dataset:wikipedia; arxiv:1810.04805; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,openai/clip-vit-large-patch14-336,openai/clip-vit-large-patch14-336,257,6985561,No,zero-shot-image-classification,transformers,2022-04-22T14:57:43.000Z,transformers; pytorch; tf; clip; zero-shot-image-classification; generated_from_keras_callback; endpoints_compatible; region:us,No,No
text-generation,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,738,6953696,No,text-generation,transformers,2024-09-16T11:55:40.000Z,transformers; safetensors; qwen2; text-generation; chat; conversational; en; arxiv:2309.00071; arxiv:2407.10671; base_model:Qwen/Qwen2.5-7B; base_model:finetune:Qwen/Qwen2.5-7B; license:apache-2.0; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,35,6706377,No,automatic-speech-recognition,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; jax; wav2vec2; automatic-speech-recognition; audio; hf-asr-leaderboard; mozilla-foundation/common_voice_6_0; pt; robust-speech-event; speech; xlsr-fine-tuning-week; dataset:common_voice; dataset:mozilla-foundation/common_voice_6_0; doi:10.57967/hf/3572; license:apache-2.0; model-index; endpoints_compatible; region:us,No,No
text-generation,facebook/esm2_t30_150M_UR50D,facebook/esm2_t30_150M_UR50D,7,6561569,No,fill-mask,transformers,2022-09-27T14:31:08.000Z,transformers; pytorch; tf; safetensors; esm; fill-mask; license:mit; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,1088,5860141,No,image-text-to-text,transformers,2025-01-26T09:26:37.000Z,transformers; safetensors; qwen2_5_vl; image-to-text; multimodal; image-text-to-text; conversational; en; arxiv:2309.00071; arxiv:2409.12191; arxiv:2308.12966; license:apache-2.0; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,Intel/zoedepth-nyu-kitti,Intel/zoedepth-nyu-kitti,7,5619198,No,depth-estimation,transformers,2024-04-30T20:22:35.000Z,transformers; safetensors; zoedepth; depth-estimation; vision; arxiv:2302.12288; license:mit; endpoints_compatible; region:us,No,No
text-generation,BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,550,5589949,No,feature-extraction,sentence-transformers,2023-09-12T05:20:08.000Z,sentence-transformers; pytorch; onnx; safetensors; bert; feature-extraction; sentence-similarity; transformers; mteb; en; arxiv:2401.03462; arxiv:2312.15503; arxiv:2311.13534; arxiv:2310.07554; arxiv:2309.07597; license:mit; model-index; autotrain_compatible; text-embeddings-inference; endpoints_compatible; region:us,No,No
text-generation,autogluon/chronos-bolt-base,autogluon/chronos-bolt-base,24,5467692,No,time-series-forecasting,,2024-11-13T13:07:57.000Z,safetensors; t5; time series; forecasting; pretrained models; foundation models; time series foundation models; time-series; time-series-forecasting; arxiv:1910.10683; arxiv:2403.07815; license:apache-2.0; region:us,No,No
text-generation,facebook/opt-125m,facebook/opt-125m,208,5275405,No,text-generation,transformers,2022-05-11T08:25:17.000Z,transformers; pytorch; tf; jax; opt; text-generation; en; arxiv:2205.01068; arxiv:2005.14165; license:other; autotrain_compatible; text-generation-inference; region:us,No,No
text-generation,emilyalsentzer/Bio_ClinicalBERT,emilyalsentzer/Bio_ClinicalBERT,370,4967474,No,fill-mask,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; bert; fill-mask; en; arxiv:1904.03323; arxiv:1901.08746; license:mit; endpoints_compatible; region:us,No,No
text-generation,google/siglip2-so400m-patch16-naflex,google/siglip2-so400m-patch16-naflex,25,4893187,No,zero-shot-image-classification,transformers,2025-02-18T11:45:40.000Z,transformers; safetensors; siglip2; zero-shot-image-classification; vision; arxiv:2502.14786; arxiv:2303.15343; arxiv:2209.06794; license:apache-2.0; endpoints_compatible; region:us,No,No
text-generation,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,129,4826969,No,text-ranking,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; jax; onnx; safetensors; openvino; bert; text-classification; transformers; text-ranking; en; dataset:sentence-transformers/msmarco; base_model:cross-encoder/ms-marco-MiniLM-L12-v2; base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2; license:apache-2.0; region:us,No,No
text-generation,dphn/dolphin-2.9.1-yi-1.5-34b,dphn/dolphin-2.9.1-yi-1.5-34b,38,4705848,No,text-generation,transformers,2024-05-18T04:50:56.000Z,transformers; safetensors; llama; text-generation; generated_from_trainer; axolotl; conversational; dataset:cognitivecomputations/Dolphin-2.9; dataset:teknium/OpenHermes-2.5; dataset:m-a-p/CodeFeedback-Filtered-Instruction; dataset:cognitivecomputations/dolphin-coder; dataset:cognitivecomputations/samantha-data; dataset:microsoft/orca-math-word-problems-200k; dataset:Locutusque/function-calling-chatml; dataset:internlm/Agent-FLAN; base_model:01-ai/Yi-1.5-34B; base_model:finetune:01-ai/Yi-1.5-34B; license:apache-2.0; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,timm/resnet18.a1_in1k,timm/resnet18.a1_in1k,12,4660932,No,image-classification,timm,2023-04-05T18:02:50.000Z,timm; pytorch; safetensors; image-classification; transformers; arxiv:2110.00476; arxiv:1512.03385; license:apache-2.0; region:us,No,No
text-generation,microsoft/deberta-v3-large,microsoft/deberta-v3-large,232,4521669,No,fill-mask,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; deberta-v2; deberta; deberta-v3; fill-mask; en; arxiv:2006.03654; arxiv:2111.09543; license:mit; endpoints_compatible; region:us,No,No
text-generation,BAAI/bge-m3,BAAI/bge-m3,2242,4520927,No,sentence-similarity,sentence-transformers,2024-01-27T17:07:29.000Z,sentence-transformers; pytorch; onnx; xlm-roberta; feature-extraction; sentence-similarity; arxiv:2402.03216; arxiv:2004.04906; arxiv:2106.14807; arxiv:2107.05720; arxiv:2004.12832; license:mit; autotrain_compatible; text-embeddings-inference; endpoints_compatible; region:us,No,No
text-generation,jinaai/jina-embeddings-v3,jinaai/jina-embeddings-v3,1037,4358975,No,feature-extraction,transformers,2024-09-05T11:56:46.000Z,transformers; pytorch; onnx; safetensors; feature-extraction; sentence-similarity; mteb; sentence-transformers; custom_code; multilingual; af; am; ar; as; az; be; bg; bn; br; bs; ca; cs; cy; da; de; el; en; eo; es; et; eu; fa; fi; fr; fy; ga; gd; gl; gu; ha; he; hi; hr; hu; hy; id; is; it; ja; jv; ka; kk; km; kn; ko; ku; ky; la; lo; lt; lv; mg; mk; ml; mn; mr; ms; my; ne; nl; no; om; or; pa; pl; ps; pt; ro; ru; sa; sd; si; sk; sl; so; sq; sr; su; sv; sw; ta; te; th; tl; tr; ug; uk; ur; uz; vi; xh; yi; zh; arxiv:2409.10173; license:cc-by-nc-4.0; model-index; region:eu,No,No
text-generation,omni-research/Tarsier2-Recap-7b,omni-research/Tarsier2-Recap-7b,15,4357477,No,,,2025-02-11T02:11:26.000Z,safetensors; video LLM; arxiv:2501.07888; license:apache-2.0; region:us,No,No
text-generation,answerdotai/answerai-colbert-small-v1,answerdotai/answerai-colbert-small-v1,152,4340418,No,,,2024-08-12T13:02:24.000Z,onnx; safetensors; bert; ColBERT; RAGatouille; passage-retrieval; en; arxiv:2407.20750; license:apache-2.0; region:us,No,No
text-generation,jonatasgrosman/wav2vec2-large-xlsr-53-russian,jonatasgrosman/wav2vec2-large-xlsr-53-russian,59,4304164,No,automatic-speech-recognition,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; jax; wav2vec2; automatic-speech-recognition; audio; hf-asr-leaderboard; mozilla-foundation/common_voice_6_0; robust-speech-event; ru; speech; xlsr-fine-tuning-week; dataset:common_voice; dataset:mozilla-foundation/common_voice_6_0; doi:10.57967/hf/3571; license:apache-2.0; model-index; endpoints_compatible; region:us,No,No
text-generation,google/vit-base-patch16-224,google/vit-base-patch16-224,848,4296914,No,image-classification,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; safetensors; vit; image-classification; vision; dataset:imagenet-1k; dataset:imagenet-21k; arxiv:2010.11929; arxiv:2006.03677; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,469,4271019,No,image-text-to-text,transformers,2025-01-26T09:25:35.000Z,transformers; safetensors; qwen2_5_vl; image-to-text; multimodal; image-text-to-text; conversational; en; arxiv:2309.00071; arxiv:2409.12191; arxiv:2308.12966; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,sentence-transformers/paraphrase-MiniLM-L6-v2,sentence-transformers/paraphrase-MiniLM-L6-v2,138,4232533,No,sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; tf; onnx; safetensors; openvino; bert; feature-extraction; sentence-similarity; transformers; arxiv:1908.10084; license:apache-2.0; autotrain_compatible; text-embeddings-inference; endpoints_compatible; region:us,No,No
text-to-image,Falconsai/nsfw_image_detection,Falconsai/nsfw_image_detection,740,112152811,No,image-classification,transformers,2023-10-13T23:50:01.000Z,transformers; pytorch; safetensors; vit; image-classification; arxiv:2010.11929; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-to-image,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,3721,86493421,No,sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; tf; rust; onnx; safetensors; openvino; bert; feature-extraction; sentence-similarity; transformers; en; dataset:s2orc; dataset:flax-sentence-embeddings/stackexchange_xml; dataset:ms_marco; dataset:gooaq; dataset:yahoo_answers_topics; dataset:code_search_net; dataset:search_qa; dataset:eli5; dataset:snli; dataset:multi_nli; dataset:wikihow; dataset:natural_questions; dataset:trivia_qa; dataset:embedding-data/sentence-compression; dataset:embedding-data/flickr30k-captions; dataset:embedding-data/altlex; dataset:embedding-data/simple-wiki; dataset:embedding-data/QQP; dataset:embedding-data/SPECTER; dataset:embedding-data/PAQ_pairs; dataset:embedding-data/WikiAnswers; arxiv:1904.06472; arxiv:2102.07033; arxiv:2104.08727; arxiv:1704.05179; arxiv:1810.09305; license:apache-2.0; autotrain_compatible; text-embeddings-inference; endpoints_compatible; region:us,No,No
text-to-image,timm/mobilenetv3_small_100.lamb_in1k,timm/mobilenetv3_small_100.lamb_in1k,31,65905134,No,image-classification,timm,2022-12-16T05:38:36.000Z,timm; pytorch; safetensors; image-classification; transformers; dataset:imagenet-1k; arxiv:2110.00476; arxiv:1905.02244; license:apache-2.0; region:us,No,No
text-to-image,dima806/fairface_age_image_detection,dima806/fairface_age_image_detection,31,58119967,No,image-classification,transformers,2024-12-06T14:59:20.000Z,transformers; safetensors; vit; image-classification; dataset:nateraw/fairface; base_model:google/vit-base-patch16-224-in21k; base_model:finetune:google/vit-base-patch16-224-in21k; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-to-image,google-bert/bert-base-uncased,google-bert/bert-base-uncased,2357,56083446,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; rust; coreml; onnx; safetensors; bert; fill-mask; exbert; en; dataset:bookcorpus; dataset:wikipedia; arxiv:1810.04805; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-to-image,amazon/chronos-t5-small,amazon/chronos-t5-small,117,41020161,No,time-series-forecasting,transformers,2024-02-21T10:06:21.000Z,transformers; safetensors; t5; text2text-generation; time series; forecasting; pretrained models; foundation models; time series foundation models; time-series; time-series-forecasting; arxiv:2403.07815; arxiv:1910.10683; license:apache-2.0; text-generation-inference; endpoints_compatible; region:us,No,No
text-to-image,pyannote/wespeaker-voxceleb-resnet34-LM,pyannote/wespeaker-voxceleb-resnet34-LM,62,19838741,No,,pyannote-audio,2023-11-13T15:32:31.000Z,pyannote-audio; pytorch; pyannote; pyannote-audio-model; wespeaker; audio; voice; speech; speaker; speaker-recognition; speaker-verification; speaker-identification; speaker-embedding; dataset:voxceleb; license:cc-by-4.0; region:us,No,No
text-to-image,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,1122,18398983,No,sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; onnx; safetensors; openvino; mpnet; fill-mask; feature-extraction; sentence-similarity; transformers; en; dataset:s2orc; dataset:flax-sentence-embeddings/stackexchange_xml; dataset:ms_marco; dataset:gooaq; dataset:yahoo_answers_topics; dataset:code_search_net; dataset:search_qa; dataset:eli5; dataset:snli; dataset:multi_nli; dataset:wikihow; dataset:natural_questions; dataset:trivia_qa; dataset:embedding-data/sentence-compression; dataset:embedding-data/flickr30k-captions; dataset:embedding-data/altlex; dataset:embedding-data/simple-wiki; dataset:embedding-data/QQP; dataset:embedding-data/SPECTER; dataset:embedding-data/PAQ_pairs; dataset:embedding-data/WikiAnswers; arxiv:1904.06472; arxiv:2102.07033; arxiv:2104.08727; arxiv:1704.05179; arxiv:1810.09305; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-to-image,openai/clip-vit-base-patch32,openai/clip-vit-base-patch32,731,18356620,No,zero-shot-image-classification,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; clip; zero-shot-image-classification; vision; arxiv:2103.00020; arxiv:1908.04913; endpoints_compatible; region:us,No,No
text-to-image,timm/resnet50.a1_in1k,timm/resnet50.a1_in1k,39,18186569,No,image-classification,timm,2023-04-05T18:07:45.000Z,timm; pytorch; safetensors; image-classification; transformers; arxiv:2110.00476; arxiv:1512.03385; license:apache-2.0; region:us,No,No
text-to-image,Bingsu/adetailer,Bingsu/adetailer,592,18171739,No,,ultralytics,2023-04-26T00:58:45.000Z,ultralytics; pytorch; dataset:wider_face; dataset:skytnt/anime-segmentation; doi:10.57967/hf/3633; license:apache-2.0; region:us,No,No
text-to-image,pyannote/segmentation-3.0,pyannote/segmentation-3.0,539,18071701,No,voice-activity-detection,pyannote-audio,2023-09-22T12:03:10.000Z,pyannote-audio; pytorch; pyannote; pyannote-audio-model; audio; voice; speech; speaker; speaker-diarization; speaker-change-detection; speaker-segmentation; voice-activity-detection; overlapped-speech-detection; resegmentation; license:mit; region:us,No,No
text-to-image,pyannote/speaker-diarization-3.1,pyannote/speaker-diarization-3.1,1004,16605698,No,automatic-speech-recognition,pyannote-audio,2023-11-16T08:19:01.000Z,pyannote-audio; pyannote; pyannote-audio-pipeline; audio; voice; speech; speaker; speaker-diarization; speaker-change-detection; voice-activity-detection; overlapped-speech-detection; automatic-speech-recognition; arxiv:2111.14448; arxiv:2012.01477; license:mit; endpoints_compatible; region:us,No,No
text-to-image,openai-community/gpt2,openai-community/gpt2,2865,14221467,No,text-generation,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; tflite; rust; onnx; safetensors; gpt2; text-generation; exbert; en; doi:10.57967/hf/0039; license:mit; autotrain_compatible; text-generation-inference; endpoints_compatible; region:us,No,No
text-to-image,FacebookAI/roberta-large,FacebookAI/roberta-large,239,12562908,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; onnx; safetensors; roberta; fill-mask; exbert; en; dataset:bookcorpus; dataset:wikipedia; arxiv:1907.11692; arxiv:1806.02847; license:mit; autotrain_compatible; endpoints_compatible; region:us,No,No
