model_name,provider,original_provider,context_window,input_price_per_million_tokens,output_price_per_million_tokens,modality,release_date
models/gemini-2.0-flash-lite-preview-02-05,Google AI,Google,1048576,null,null,text,2025-02-05
models/gemini-2.0-flash-lite-preview,Google AI,Google,1048576,null,null,text,2025-02-05
models/gemini-2.0-pro-exp,Google AI,Google,1048576,null,null,text,2025-03-25
models/gemini-2.0-pro-exp-02-05,Google AI,Google,1048576,null,null,text,2025-03-25
models/gemini-exp-1206,Google AI,Google,1048576,null,null,text,2025-03-25
models/gemini-2.0-flash-thinking-exp-01-21,Google AI,Google,1048576,null,null,text,2025-04-17
models/gemini-2.0-flash-thinking-exp,Google AI,Google,1048576,null,null,text,2025-04-17
models/gemini-2.0-flash-thinking-exp-1219,Google AI,Google,1048576,null,null,text,2025-04-17
models/gemini-2.5-flash-preview-tts,Google AI,Google,8192,null,null,text,null
models/gemini-2.5-pro-preview-tts,Google AI,Google,8192,null,null,text,null
models/learnlm-2.0-flash-experimental,Google AI,Google,1048576,null,null,text,null
models/gemma-3-1b-it,Google AI,Google,32768,null,null,text,null
models/gemma-3-4b-it,Google AI,Google,32768,null,null,text,null
models/gemma-3-12b-it,Google AI,Google,32768,null,null,text,null
models/gemma-3-27b-it,Google AI,Google,131072,null,null,text,null
models/gemma-3n-e4b-it,Google AI,Google,8192,null,null,text,null
models/gemma-3n-e2b-it,Google AI,Google,8192,null,null,text,null
models/gemini-2.5-flash-lite,Google AI,Google,1048576,null,null,text,2025-07-01
models/embedding-001,Google AI,Google,2048,null,null,text,null
models/text-embedding-004,Google AI,Google,2048,null,null,text,null
models/gemini-embedding-exp-03-07,Google AI,Google,8192,null,null,text,null
models/gemini-embedding-exp,Google AI,Google,8192,null,null,text,null
models/gemini-embedding-001,Google AI,Google,2048,null,null,text,null
models/aqa,Google AI,Google,7168,null,null,text,null
models/imagen-3.0-generate-002,Google AI,Google,480,null,null,text,null
models/imagen-4.0-generate-preview-06-06,Google AI,Google,480,null,null,text,null
compound-beta,Groq,Groq,131072,null,null,text,2025-04-24
meta-llama/llama-4-scout-17b-16e-instruct,Groq,Meta,131072,null,null,text,2025-05-27
llama-3.1-8b-instant,Groq,Meta,131072,null,null,text,2023-09-01
playai-tts,Groq,PlayAI,8192,null,null,audio,2025-04-22
whisper-large-v3,Groq,OpenAI,448,null,null,audio,2023-09-01
llama3-70b-8192,Groq,Meta,8192,null,null,text,2023-09-01
meta-llama/llama-guard-4-12b,Groq,Meta,131072,null,null,text,2025-07-02
compound-beta-mini,Groq,Groq,131072,null,null,text,2025-05-16
playai-tts-arabic,Groq,PlayAI,8192,null,null,audio,2025-04-22
llama-3.3-70b-versatile,Groq,Meta,131072,null,null,text,2024-12-05
meta-llama/llama-prompt-guard-2-22m,Groq,Meta,512,null,null,text,2025-07-22
qwen/qwen3-32b,Groq,Alibaba Cloud,131072,null,null,text,2025-07-19
whisper-large-v3-turbo,Groq,OpenAI,448,null,null,audio,2024-10-01
allam-2-7b,Groq,SDAIA,4096,null,null,text,2025-01-16
llama3-8b-8192,Groq,Meta,8192,null,null,text,2023-09-01
gemma2-9b-it,Groq,Google,8192,null,null,text,2023-09-01
deepseek-r1-distill-llama-70b,Groq,DeepSeek / Meta,131072,null,null,text,2025-01-19
distil-whisper-large-v3-en,Groq,Hugging Face,448,null,null,audio,2023-09-01
moonshotai/kimi-k2-instruct,Groq,Moonshot AI,131072,null,null,text,2025-08-20
meta-llama/llama-prompt-guard-2-86m,Groq,Meta,512,null,null,text,2025-07-22
meta-llama/llama-4-maverick-17b-128e-instruct,Groq,Meta,131072,null,null,text,2025-05-27
Falconsai/nsfw_image_detection,HuggingFace,Falconsai,null,null,null,text-generation,2023-10-13
sentence-transformers/all-MiniLM-L6-v2,HuggingFace,sentence-transformers,null,null,null,text-generation,2022-03-02
timm/mobilenetv3_small_100.lamb_in1k,HuggingFace,timm,null,null,null,text-generation,2022-12-16
dima806/fairface_age_image_detection,HuggingFace,dima806,null,null,null,text-generation,2024-12-06
google-bert/bert-base-uncased,HuggingFace,google-bert,null,null,null,text-generation,2022-03-02
amazon/chronos-t5-small,HuggingFace,amazon,null,null,null,text-generation,2024-02-21
pyannote/wespeaker-voxceleb-resnet34-LM,HuggingFace,pyannote,null,null,null,text-generation,2023-11-13
sentence-transformers/all-mpnet-base-v2,HuggingFace,sentence-transformers,null,null,null,text-generation,2022-03-02
openai/clip-vit-base-patch32,HuggingFace,openai,null,null,null,text-generation,2022-03-02
timm/resnet50.a1_in1k,HuggingFace,timm,null,null,null,text-generation,2023-04-05
Bingsu/adetailer,HuggingFace,Bingsu,null,null,null,text-generation,2023-04-26
pyannote/segmentation-3.0,HuggingFace,pyannote,null,null,null,text-generation,2023-09-22
pyannote/speaker-diarization-3.1,HuggingFace,pyannote,null,null,null,text-generation,2023-11-16
openai-community/gpt2,HuggingFace,openai-community,null,null,null,text-generation,2022-03-02
FacebookAI/roberta-large,HuggingFace,FacebookAI,null,null,null,text-generation,2022-03-02
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,HuggingFace,sentence-transformers,null,null,null,text-generation,2022-03-02
google/electra-base-discriminator,HuggingFace,google,null,null,null,text-generation,2022-03-02
FacebookAI/xlm-roberta-base,HuggingFace,FacebookAI,null,null,null,text-generation,2022-03-02
Qwen/Qwen2.5-14B-Instruct,HuggingFace,Qwen,null,null,null,text-generation,2024-09-16
openai/clip-vit-large-patch14,HuggingFace,openai,null,null,null,text-generation,2022-03-02
distilbert/distilbert-base-uncased,HuggingFace,distilbert,null,null,null,text-generation,2022-03-02
colbert-ir/colbertv2.0,HuggingFace,colbert-ir,null,null,null,text-generation,2023-06-27
meta-llama/Llama-3.1-8B-Instruct,HuggingFace,meta-llama,null,null,null,text-generation,2024-07-18
FacebookAI/roberta-base,HuggingFace,FacebookAI,null,null,null,text-generation,2022-03-02
facebook/contriever,HuggingFace,facebook,null,null,null,text-generation,2022-03-02
Qwen/Qwen3-4B-Base,HuggingFace,Qwen,null,null,null,text-generation,2025-04-28
google-bert/bert-base-multilingual-cased,HuggingFace,google-bert,null,null,null,text-generation,2022-03-02
openai/clip-vit-large-patch14-336,HuggingFace,openai,null,null,null,text-generation,2022-04-22
Qwen/Qwen2.5-7B-Instruct,HuggingFace,Qwen,null,null,null,text-generation,2024-09-16
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,HuggingFace,jonatasgrosman,null,null,null,text-generation,2022-03-02
facebook/esm2_t30_150M_UR50D,HuggingFace,facebook,null,null,null,text-generation,2022-09-27
Qwen/Qwen2.5-VL-7B-Instruct,HuggingFace,Qwen,null,null,null,text-generation,2025-01-26
Intel/zoedepth-nyu-kitti,HuggingFace,Intel,null,null,null,text-generation,2024-04-30
BAAI/bge-large-en-v1.5,HuggingFace,BAAI,null,null,null,text-generation,2023-09-12
autogluon/chronos-bolt-base,HuggingFace,autogluon,null,null,null,text-generation,2024-11-13
facebook/opt-125m,HuggingFace,facebook,null,null,null,text-generation,2022-05-11
emilyalsentzer/Bio_ClinicalBERT,HuggingFace,emilyalsentzer,null,null,null,text-generation,2022-03-02
google/siglip2-so400m-patch16-naflex,HuggingFace,google,null,null,null,text-generation,2025-02-18
cross-encoder/ms-marco-MiniLM-L6-v2,HuggingFace,cross-encoder,null,null,null,text-generation,2022-03-02
dphn/dolphin-2.9.1-yi-1.5-34b,HuggingFace,dphn,null,null,null,text-generation,2024-05-18
timm/resnet18.a1_in1k,HuggingFace,timm,null,null,null,text-generation,2023-04-05
microsoft/deberta-v3-large,HuggingFace,microsoft,null,null,null,text-generation,2022-03-02
BAAI/bge-m3,HuggingFace,BAAI,null,null,null,text-generation,2024-01-27
jinaai/jina-embeddings-v3,HuggingFace,jinaai,null,null,null,text-generation,2024-09-05
omni-research/Tarsier2-Recap-7b,HuggingFace,omni-research,null,null,null,text-generation,2025-02-11
answerdotai/answerai-colbert-small-v1,HuggingFace,answerdotai,null,null,null,text-generation,2024-08-12
jonatasgrosman/wav2vec2-large-xlsr-53-russian,HuggingFace,jonatasgrosman,null,null,null,text-generation,2022-03-02
google/vit-base-patch16-224,HuggingFace,google,null,null,null,text-generation,2022-03-02
Qwen/Qwen2.5-VL-3B-Instruct,HuggingFace,Qwen,null,null,null,text-generation,2025-01-26
sentence-transformers/paraphrase-MiniLM-L6-v2,HuggingFace,sentence-transformers,null,null,null,text-generation,2022-03-02
mistral-medium-2505,Mistral,mistralai,131072,null,null,vision,2025-08-01
ministral-3b-2410,Mistral,mistralai,131072,null,null,text,2025-08-01
ministral-8b-2410,Mistral,mistralai,131072,null,null,text,2025-08-01
open-mistral-7b,Mistral,mistralai,32768,null,null,text,2025-08-01
open-mistral-nemo,Mistral,mistralai,131072,null,null,text,2025-08-01
open-mixtral-8x7b,Mistral,mistralai,32768,null,null,text,2025-08-01
open-mixtral-8x22b,Mistral,mistralai,65536,null,null,text,2025-08-01
mistral-small-2409,Mistral,mistralai,32768,null,null,text,2025-08-01
mistral-large-2407,Mistral,mistralai,131072,null,null,text,2025-08-01
mistral-large-2411,Mistral,mistralai,131072,null,null,text,2025-08-01
pixtral-large-2411,Mistral,mistralai,131072,null,null,vision,2025-08-01
codestral-2501,Mistral,mistralai,262144,null,null,text,2025-08-01
codestral-2508,Mistral,mistralai,256000,null,null,text,2025-08-01
devstral-small-2505,Mistral,mistralai,131072,null,null,text,2025-08-01
devstral-small-2507,Mistral,mistralai,131072,null,null,text,2025-08-01
devstral-medium-2507,Mistral,mistralai,131072,null,null,text,2025-08-01
pixtral-12b-2409,Mistral,mistralai,131072,null,null,vision,2025-08-01
mistral-small-2501,Mistral,mistralai,32768,null,null,text,2025-08-01
mistral-small-2503,Mistral,mistralai,131072,null,null,vision,2025-08-01
mistral-small-2506,Mistral,mistralai,131072,null,null,vision,2025-08-01
mistral-saba-2502,Mistral,mistralai,32768,null,null,text,2025-08-01
magistral-medium-2506,Mistral,mistralai,40960,null,null,text,2025-08-01
magistral-medium-2507,Mistral,mistralai,40960,null,null,text,2025-08-01
magistral-small-2506,Mistral,mistralai,40000,null,null,text,2025-08-01
magistral-small-2507,Mistral,mistralai,40960,null,null,text,2025-08-01
voxtral-mini-2507,Mistral,mistralai,32768,null,null,text,2025-08-01
voxtral-small-2507,Mistral,mistralai,32768,null,null,text,2025-08-01
mistral-embed,Mistral,mistralai,32768,null,null,text,2025-08-01
codestral-embed,Mistral,mistralai,32768,null,null,text,2025-08-01
openrouter/horizon-alpha,OpenRouter,OpenRouter,256000,0.0,0.0,text+image->text,2025-08-28
qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,Qwen,131072,0.2,0.8,text->text,2025-08-27
z-ai/glm-4.5,OpenRouter,Z.AI,131072,0.2,0.2,text->text,2025-08-23
z-ai/glm-4.5-air:free,OpenRouter,Z.AI,131072,0.0,0.0,text->text,2025-08-23
z-ai/glm-4.5-air,OpenRouter,Z.AI,128000,0.2,1.1,text->text,2025-08-23
qwen/qwen3-235b-a22b-thinking-2507,OpenRouter,Qwen,262144,0.1179,0.1179,text->text,2025-08-23
z-ai/glm-4-32b,OpenRouter,Z.AI,128000,0.1,0.1,text->text,2025-08-22
qwen/qwen3-coder:free,OpenRouter,Qwen,262144,0.0,0.0,text->text,2025-08-21
qwen/qwen3-coder,OpenRouter,Qwen,262144,0.3,1.2,text->text,2025-08-21
bytedance/ui-tars-1.5-7b,OpenRouter,Bytedance,128000,0.1,0.2,text+image->text,2025-08-21
google/gemini-2.5-flash-lite,OpenRouter,Google,1048576,0.1,0.4,text+image->text,2025-08-21
qwen/qwen3-235b-a22b-2507,OpenRouter,Qwen,262144,0.1179,0.1179,text->text,2025-08-20
switchpoint/router,OpenRouter,Switchpoint,131072,0.85,3.4,text->text,2025-08-19
moonshotai/kimi-k2:free,OpenRouter,MoonshotAI,32768,0.0,0.0,text->text,2025-08-19
moonshotai/kimi-k2,OpenRouter,MoonshotAI,32768,0.0878,0.0878,text->text,2025-08-19
thudm/glm-4.1v-9b-thinking,OpenRouter,THUDM,65536,0.035,0.138,text+image->text,2025-08-19
mistralai/devstral-medium,OpenRouter,Mistral,131072,0.4,2.0,text->text,2025-08-18
mistralai/devstral-small,OpenRouter,Mistral,128000,0.07,0.28,text->text,2025-08-18
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,OpenRouter,Venice,32768,0.0,0.0,text->text,2025-08-17
x-ai/grok-4,OpenRouter,xAI,256000,3.0,15.0,text+image->text,2025-08-17
google/gemma-3n-e2b-it:free,OpenRouter,Google,8192,0.0,0.0,text->text,2025-08-17
tencent/hunyuan-a13b-instruct:free,OpenRouter,Tencent,32768,0.0,0.0,text->text,2025-08-16
tencent/hunyuan-a13b-instruct,OpenRouter,Tencent,32768,0.03,0.03,text->text,2025-08-16
tngtech/deepseek-r1t2-chimera:free,OpenRouter,TNG,163840,0.0,0.0,text->text,2025-08-16
tngtech/deepseek-r1t2-chimera,OpenRouter,TNG,163840,0.302,0.302,text->text,2025-08-16
morph/morph-v3-large,OpenRouter,Morph,32000,1.2,2.7,text->text,2025-08-15
morph/morph-v3-fast,OpenRouter,Morph,32000,1.2,2.7,text->text,2025-08-15
baidu/ernie-4.5-300b-a47b,OpenRouter,Baidu,123000,0.28,1.1,text->text,2025-08-08
thedrummer/anubis-70b-v1.1,OpenRouter,TheDrummer,16384,0.4,0.7,text->text,2025-08-07
inception/mercury,OpenRouter,Inception,32000,0.25,1.0,text->text,2025-08-05
morph/morph-v2,OpenRouter,Morph,32000,1.2,2.7,text->text,2025-08-04
mistralai/mistral-small-3.2-24b-instruct:free,OpenRouter,Mistral,96000,0.0,0.0,text+image->text,2025-07-31
mistralai/mistral-small-3.2-24b-instruct,OpenRouter,Mistral,128000,0.05,0.1,text+image->text,2025-07-31
minimax/minimax-m1,OpenRouter,MiniMax,1000000,0.3,1.65,text->text,2025-07-28
google/gemini-2.5-flash-lite-preview-06-17,OpenRouter,Google,1048576,0.1,0.4,text+image->text,2025-07-28
google/gemini-2.5-flash,OpenRouter,Google,1048576,0.3,2.5,text+image->text,2025-07-28
google/gemini-2.5-pro,OpenRouter,Google,1048576,1.25,10.0,text+image->text,2025-07-28
moonshotai/kimi-dev-72b:free,OpenRouter,Kimi Dev 72b,131072,0.0,0.0,text->text,2025-07-27
openai/o3-pro,OpenRouter,OpenAI,200000,20.0,80.0,text+image->text,2025-07-22
x-ai/grok-3-mini,OpenRouter,xAI,131072,0.3,0.5,text->text,2025-07-22
x-ai/grok-3,OpenRouter,xAI,131072,3.0,15.0,text->text,2025-07-22
mistralai/magistral-small-2506,OpenRouter,Mistral,40000,0.5,1.5,text->text,2025-07-21
mistralai/magistral-medium-2506,OpenRouter,Mistral,40960,2.0,5.0,text->text,2025-07-19
mistralai/magistral-medium-2506:thinking,OpenRouter,Mistral,40960,2.0,5.0,text->text,2025-07-19
google/gemini-2.5-pro-preview,OpenRouter,Google,1048576,1.25,10.0,text+image->text,2025-07-17
deepseek/deepseek-r1-distill-qwen-7b,OpenRouter,DeepSeek,131072,0.1,0.2,text->text,2025-07-13
deepseek/deepseek-r1-0528-qwen3-8b:free,OpenRouter,DeepSeek,131072,0.0,0.0,text->text,2025-07-12
deepseek/deepseek-r1-0528-qwen3-8b,OpenRouter,DeepSeek,32000,0.01,0.02,text->text,2025-07-12
deepseek/deepseek-r1-0528:free,OpenRouter,DeepSeek,163840,0.0,0.0,text->text,2025-07-11
deepseek/deepseek-r1-0528,OpenRouter,DeepSeek,163840,0.272,0.272,text->text,2025-07-11
sarvamai/sarvam-m:free,OpenRouter,Sarvam AI,32768,0.0,0.0,text->text,2025-07-08
sarvamai/sarvam-m,OpenRouter,Sarvam AI,32768,0.022,0.022,text->text,2025-07-08
thedrummer/valkyrie-49b-v1,OpenRouter,TheDrummer,131072,0.65,1.0,text->text,2025-07-06
anthropic/claude-opus-4,OpenRouter,Anthropic,200000,15.0,75.0,text+image->text,2025-07-05
anthropic/claude-sonnet-4,OpenRouter,Anthropic,200000,3.0,15.0,text+image->text,2025-07-05
mistralai/devstral-small-2505:free,OpenRouter,Mistral,32768,0.0,0.0,text->text,2025-07-04
mistralai/devstral-small-2505,OpenRouter,Mistral,32768,0.03,0.03,text->text,2025-07-04
google/gemma-3n-e4b-it:free,OpenRouter,Google,8192,0.0,0.0,text->text,2025-07-03
google/gemma-3n-e4b-it,OpenRouter,Google,32768,0.02,0.04,text->text,2025-07-03
openai/codex-mini,OpenRouter,OpenAI,200000,1.5,6.0,text+image->text,2025-06-29
nousresearch/deephermes-3-mistral-24b-preview,OpenRouter,Nous,32768,0.141,0.141,text->text,2025-06-23
mistralai/mistral-medium-3,OpenRouter,Mistral,131072,0.4,2.0,text+image->text,2025-06-21
google/gemini-2.5-pro-preview-05-06,OpenRouter,Google,1048576,1.25,10.0,text+image->text,2025-06-20
arcee-ai/spotlight,OpenRouter,Arcee AI,131072,0.18,0.18,text+image->text,2025-06-19
arcee-ai/maestro-reasoning,OpenRouter,Arcee AI,131072,0.9,3.3,text->text,2025-06-19
arcee-ai/virtuoso-large,OpenRouter,Arcee AI,131072,0.75,1.2,text->text,2025-06-19
arcee-ai/coder-large,OpenRouter,Arcee AI,32768,0.5,0.8,text->text,2025-06-19
microsoft/phi-4-reasoning-plus,OpenRouter,Microsoft,32768,0.07,0.35,text->text,2025-06-15
inception/mercury-coder,OpenRouter,Inception,32000,0.25,1.0,text->text,2025-06-14
qwen/qwen3-4b:free,OpenRouter,Qwen,40960,0.0,0.0,text->text,2025-06-14
opengvlab/internvl3-14b,OpenRouter,OpenGVLab,12288,0.2,0.4,text+image->text,2025-06-14
deepseek/deepseek-prover-v2,OpenRouter,DeepSeek,163840,0.5,2.18,text->text,2025-06-14
meta-llama/llama-guard-4-12b,OpenRouter,Meta,163840,0.05,0.05,text+image->text,2025-06-13
qwen/qwen3-30b-a3b:free,OpenRouter,Qwen,40960,0.0,0.0,text->text,2025-06-12
qwen/qwen3-30b-a3b,OpenRouter,Qwen,40960,0.08,0.29,text->text,2025-06-12
qwen/qwen3-8b:free,OpenRouter,Qwen,40960,0.0,0.0,text->text,2025-06-12
qwen/qwen3-8b,OpenRouter,Qwen,128000,0.035,0.138,text->text,2025-06-12
qwen/qwen3-14b:free,OpenRouter,Qwen,40960,0.0,0.0,text->text,2025-06-12
qwen/qwen3-14b,OpenRouter,Qwen,40960,0.06,0.24,text->text,2025-06-12
qwen/qwen3-32b,OpenRouter,Qwen,40960,0.027,0.027,text->text,2025-06-12
qwen/qwen3-235b-a22b:free,OpenRouter,Qwen,131072,0.0,0.0,text->text,2025-06-12
qwen/qwen3-235b-a22b,OpenRouter,Qwen,40960,0.13,0.6,text->text,2025-06-12
tngtech/deepseek-r1t-chimera:free,OpenRouter,TNG,163840,0.0,0.0,text->text,2025-06-11
microsoft/mai-ds-r1:free,OpenRouter,Microsoft,163840,0.0,0.0,text->text,2025-06-05
microsoft/mai-ds-r1,OpenRouter,Microsoft,163840,0.302,0.302,text->text,2025-06-05
thudm/glm-z1-32b:free,OpenRouter,THUDM,32768,0.0,0.0,text->text,2025-06-02
thudm/glm-z1-32b,OpenRouter,THUDM,32768,0.03,0.03,text->text,2025-06-02
thudm/glm-4-32b:free,OpenRouter,THUDM,32768,0.0,0.0,text->text,2025-06-02
thudm/glm-4-32b,OpenRouter,THUDM,32000,0.24,0.24,text->text,2025-06-02
openai/o4-mini-high,OpenRouter,OpenAI,200000,1.1,4.4,text+image->text,2025-06-01
openai/o3,OpenRouter,OpenAI,200000,2.0,8.0,text+image->text,2025-06-01
openai/o4-mini,OpenRouter,OpenAI,200000,1.1,4.4,text+image->text,2025-06-01
shisa-ai/shisa-v2-llama3.3-70b:free,OpenRouter,Shisa AI,32768,0.0,0.0,text->text,2025-05-31
shisa-ai/shisa-v2-llama3.3-70b,OpenRouter,Shisa AI,32768,0.03,0.03,text->text,2025-05-31
openai/gpt-4.1,OpenRouter,OpenAI,1047576,2.0,8.0,text+image->text,2025-05-30
openai/gpt-4.1-mini,OpenRouter,OpenAI,1047576,0.4,1.6,text+image->text,2025-05-30
openai/gpt-4.1-nano,OpenRouter,OpenAI,1047576,0.1,0.4,text+image->text,2025-05-30
eleutherai/llemma_7b,OpenRouter,EleutherAI,4096,0.8,1.2,text->text,2025-05-30
alfredpros/codellama-7b-instruct-solidity,OpenRouter,AlfredPros,4096,0.8,1.2,text->text,2025-05-30
arliai/qwq-32b-arliai-rpr-v1:free,OpenRouter,ArliAI,32768,0.0,0.0,text->text,2025-05-29
arliai/qwq-32b-arliai-rpr-v1,OpenRouter,ArliAI,32768,0.015,0.015,text->text,2025-05-29
agentica-org/deepcoder-14b-preview:free,OpenRouter,Agentica,96000,0.0,0.0,text->text,2025-05-29
agentica-org/deepcoder-14b-preview,OpenRouter,Agentica,96000,0.015,0.015,text->text,2025-05-29
moonshotai/kimi-vl-a3b-thinking:free,OpenRouter,Moonshot AI,131072,0.0,0.0,text+image->text,2025-05-27
moonshotai/kimi-vl-a3b-thinking,OpenRouter,Moonshot AI,131072,0.038,0.038,text+image->text,2025-05-27
x-ai/grok-3-mini-beta,OpenRouter,xAI,131072,0.3,0.5,text->text,2025-05-26
x-ai/grok-3-beta,OpenRouter,xAI,131072,3.0,15.0,text->text,2025-05-26
nvidia/llama-3.3-nemotron-super-49b-v1,OpenRouter,NVIDIA,131072,0.13,0.4,text->text,2025-05-25
nvidia/llama-3.1-nemotron-ultra-253b-v1:free,OpenRouter,NVIDIA,131072,0.0,0.0,text->text,2025-05-25
nvidia/llama-3.1-nemotron-ultra-253b-v1,OpenRouter,NVIDIA,131072,0.6,1.8,text->text,2025-05-25
meta-llama/llama-4-maverick,OpenRouter,Meta,1048576,0.15,0.6,text+image->text,2025-05-22
meta-llama/llama-4-scout,OpenRouter,Meta,1048576,0.08,0.3,text+image->text,2025-05-22
deepseek/deepseek-v3-base,OpenRouter,DeepSeek,163840,0.302,0.302,text->text,2025-05-15
scb10x/llama3.1-typhoon2-70b-instruct,OpenRouter,Typhoon2 70B Instruct,8192,0.88,0.88,text->text,2025-05-14
google/gemini-2.5-pro-exp-03-25,OpenRouter,Google,1048576,null,null,text+image->text,2025-05-05
qwen/qwen2.5-vl-32b-instruct:free,OpenRouter,Qwen,8192,0.0,0.0,text+image->text,2025-05-04
qwen/qwen2.5-vl-32b-instruct,OpenRouter,Qwen,128000,0.2,0.6,text+image->text,2025-05-04
deepseek/deepseek-chat-v3-0324:free,OpenRouter,DeepSeek,32768,0.0,0.0,text->text,2025-05-04
deepseek/deepseek-chat-v3-0324,OpenRouter,DeepSeek,163840,0.25,0.85,text->text,2025-05-04
featherless/qwerky-72b:free,OpenRouter,featherless,32768,0.0,0.0,text->text,2025-04-30
openai/o1-pro,OpenRouter,OpenAI,200000,150.0,600.0,text+image->text,2025-04-30
mistralai/mistral-small-3.1-24b-instruct:free,OpenRouter,Mistral,128000,0.0,0.0,text+image->text,2025-04-28
mistralai/mistral-small-3.1-24b-instruct,OpenRouter,Mistral,96000,0.027,0.027,text+image->text,2025-04-28
google/gemma-3-4b-it:free,OpenRouter,Google,32768,0.0,0.0,text+image->text,2025-04-25
google/gemma-3-4b-it,OpenRouter,Google,131072,0.02,0.04,text+image->text,2025-04-25
ai21/jamba-1.6-large,OpenRouter,AI21,256000,2.0,8.0,text->text,2025-04-25
ai21/jamba-1.6-mini,OpenRouter,AI21,256000,0.2,0.4,text->text,2025-04-25
google/gemma-3-12b-it:free,OpenRouter,Google,96000,0.0,0.0,text+image->text,2025-04-25
google/gemma-3-12b-it,OpenRouter,Google,96000,0.03,0.03,text->text,2025-04-25
cohere/command-a,OpenRouter,Cohere,32768,2.0,8.0,text->text,2025-04-25
openai/gpt-4o-mini-search-preview,OpenRouter,OpenAI,128000,0.15,0.6,text->text,2025-04-24
openai/gpt-4o-search-preview,OpenRouter,OpenAI,128000,2.5,10.0,text->text,2025-04-24
rekaai/reka-flash-3:free,OpenRouter,Reka,32768,0.0,0.0,text->text,2025-04-24
rekaai/reka-flash-3,OpenRouter,Reka,32768,0.013,0.013,text->text,2025-04-24
