name,shortName,country,modelSize,sourceUrl,releaseDate,accessType,license,capabilities,lastUpdated
"Mistral: Pixtral Large 2411","Mistral:-Pixtral-Large","Unknown","Unknown","https://openrouter.ai/docs","2024-11-19","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Infermatic: Mistral Nemo Inferor 12B","Infermatic:-Mistral-Nemo","Unknown","12B","https://openrouter.ai/docs","2024-11-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Anthropic: Claude 3.5 Haiku (self-moderated)","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-11-04","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Anthropic: Claude 3.5 Haiku","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-11-04","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated)","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-11-04","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Anthropic: Claude 3.5 Haiku (2024-10-22)","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-11-04","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Anthropic: Claude 3.5 Sonnet (self-moderated)","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-10-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Anthropic: Claude 3.5 Sonnet","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-10-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Mistral: Ministral 8B","Mistral:-Ministral","Unknown","8B","https://openrouter.ai/docs","2024-10-17","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Mistral: Ministral 3B","Mistral:-Ministral","Unknown","3B","https://openrouter.ai/docs","2024-10-17","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"NVIDIA: Llama 3.1 Nemotron 70B Instruct","NVIDIA:-Llama-3.1","Unknown","70B","https://openrouter.ai/docs","2024-10-15","freemium","Unknown",Conversational,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.2 3B Instruct (free)","Meta:-Llama-3.2","Unknown","3B","https://openrouter.ai/docs","2024-09-25","freemium","Unknown",Conversational,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.2 3B Instruct","Meta:-Llama-3.2","Unknown","3B","https://openrouter.ai/docs","2024-09-25","freemium","Unknown",Conversational,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.2 1B Instruct","Meta:-Llama-3.2","Unknown","1B","https://openrouter.ai/docs","2024-09-25","freemium","Unknown",Conversational,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.2 90B Vision Instruct","Meta:-Llama-3.2","Unknown","90B","https://openrouter.ai/docs","2024-09-25","freemium","Unknown",Conversational,Vision,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.2 11B Vision Instruct (free)","Meta:-Llama-3.2","Unknown","11B","https://openrouter.ai/docs","2024-09-25","freemium","Unknown",Conversational,Vision,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.2 11B Vision Instruct","Meta:-Llama-3.2","Unknown","11B","https://openrouter.ai/docs","2024-09-25","freemium","Unknown",Conversational,Vision,"2025-07-11T06:25:48.823Z"
"Mistral: Pixtral 12B","Mistral:-Pixtral-12B","Unknown","12B","https://openrouter.ai/docs","2024-09-10","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Sao10K: Llama 3.1 Euryale 70B v2.2","Sao10K:-Llama-3.1","Unknown","70B","https://openrouter.ai/docs","2024-08-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"OpenAI: ChatGPT-4o","OpenAI:-ChatGPT","Unknown","Unknown","https://openrouter.ai/docs","2024-08-14","freemium","Unknown",Conversational,"2025-07-11T06:25:48.823Z"
"Sao10K: Llama 3 8B Lunaris","Sao10K:-Llama-Lunaris","Unknown","8B","https://openrouter.ai/docs","2024-08-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"OpenAI: GPT-4o (2024-08-06)","OpenAI:-GPT-(2024","Unknown","Unknown","https://openrouter.ai/docs","2024-08-06","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Mistral Nemo 12B Celeste","Mistral-Nemo-12B","Unknown","12B","https://openrouter.ai/docs","2024-08-02","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.1 405B (base)","Meta:-Llama-3.1","Unknown","405B","https://openrouter.ai/docs","2024-08-02","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Meta: Llama 3.1 70B Instruct","Meta:-Llama-3.1","Unknown","70B","https://openrouter.ai/docs","2024-07-23","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Meta: Llama 3.1 8B Instruct","Meta:-Llama-3.1","Unknown","8B","https://openrouter.ai/docs","2024-07-23","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Meta: Llama 3.1 405B Instruct (free)","Meta:-Llama-3.1","Unknown","405B","https://openrouter.ai/docs","2024-07-23","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Meta: Llama 3.1 405B Instruct","Meta:-Llama-3.1","Unknown","405B","https://openrouter.ai/docs","2024-07-23","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Mistral: Mistral Nemo (free)","Mistral:-Mistral-Nemo","Unknown","Unknown","https://openrouter.ai/docs","2024-07-19","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Mistral: Mistral Nemo","Mistral:-Mistral-Nemo","Unknown","Unknown","https://openrouter.ai/docs","2024-07-19","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"OpenAI: GPT-4o-mini (2024-07-18)","OpenAI:-GPT-mini","Unknown","Unknown","https://openrouter.ai/docs","2024-07-18","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"OpenAI: GPT-4o-mini","OpenAI:-GPT-mini","Unknown","Unknown","https://openrouter.ai/docs","2024-07-18","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated)","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-06-20","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Anthropic: Claude 3.5 Sonnet (2024-06-20)","Anthropic:-Claude-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-06-20","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Sao10k: Llama 3 Euryale 70B v2.1","Sao10k:-Llama-Euryale","Unknown","70B","https://openrouter.ai/docs","2024-06-18","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Mistral: Mistral 7B Instruct v0.3","Mistral:-Mistral-v0.3","Unknown","7B","https://openrouter.ai/docs","2024-05-27","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Mistral: Mistral 7B Instruct (free)","Mistral:-Mistral-(free)","Unknown","7B","https://openrouter.ai/docs","2024-05-27","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Mistral: Mistral 7B Instruct","Mistral:-Mistral","Unknown","7B","https://openrouter.ai/docs","2024-05-27","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"NousResearch: Hermes 2 Pro - Llama-3 8B","NousResearch:-Hermes-Pro","Unknown","8B","https://openrouter.ai/docs","2024-05-27","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"NeverSleep: Llama 3 Lumimaid 70B","NeverSleep:-Llama-Lumimaid","Unknown","70B","https://openrouter.ai/docs","2024-05-16","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"OpenAI: GPT-4o (2024-05-13)","OpenAI:-GPT-(2024","Unknown","Unknown","https://openrouter.ai/docs","2024-05-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"OpenAI: GPT-4o","OpenAI:-GPT","Unknown","Unknown","https://openrouter.ai/docs","2024-05-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"OpenAI: GPT-4o (extended)","OpenAI:-GPT-(extended)","Unknown","Unknown","https://openrouter.ai/docs","2024-05-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Meta: LlamaGuard 2 8B","Meta:-LlamaGuard","Unknown","8B","https://openrouter.ai/docs","2024-05-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Meta: Llama 3 8B Instruct","Meta:-Llama","Unknown","8B","https://openrouter.ai/docs","2024-04-18","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Meta: Llama 3 70B Instruct","Meta:-Llama-70B","Unknown","70B","https://openrouter.ai/docs","2024-04-18","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"Mistral: Mixtral 8x22B Instruct","Mistral:-Mixtral-8x22B","Unknown","22B","https://openrouter.ai/docs","2024-04-17","freemium","Unknown",Conversational,"2025-07-11T06:25:48.824Z"
"OpenAI: GPT-4 Turbo","OpenAI:-GPT-Turbo","Unknown","Unknown","https://openrouter.ai/docs","2024-04-09","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Anthropic: Claude 3 Haiku (self-moderated)","Anthropic:-Claude-Haiku","Unknown","Unknown","https://openrouter.ai/docs","2024-03-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Anthropic: Claude 3 Haiku","Anthropic:-Claude-Haiku","Unknown","Unknown","https://openrouter.ai/docs","2024-03-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.824Z"
"Anthropic: Claude 3 Sonnet (self-moderated)","Anthropic:-Claude-Sonnet","Unknown","Unknown","https://openrouter.ai/docs","2024-03-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude 3 Sonnet","Anthropic:-Claude-Sonnet","Unknown","Unknown","https://openrouter.ai/docs","2024-03-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude 3 Opus (self-moderated)","Anthropic:-Claude-Opus","Unknown","Unknown","https://openrouter.ai/docs","2024-03-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude 3 Opus","Anthropic:-Claude-Opus","Unknown","Unknown","https://openrouter.ai/docs","2024-03-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Mistral Large","Mistral-Large","Unknown","Unknown","https://openrouter.ai/docs","2024-02-26","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-4 Turbo Preview","OpenAI:-GPT-Turbo","Unknown","Unknown","https://openrouter.ai/docs","2024-01-25","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-3.5 Turbo (older v0613)","OpenAI:-GPT-3.5","Unknown","Unknown","https://openrouter.ai/docs","2024-01-25","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Mistral Tiny","Mistral-Tiny","Unknown","Unknown","https://openrouter.ai/docs","2024-01-10","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Mistral Small","Mistral-Small","Unknown","Unknown","https://openrouter.ai/docs","2024-01-10","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Mistral: Mistral 7B Instruct v0.2","Mistral:-Mistral-v0.2","Unknown","7B","https://openrouter.ai/docs","2023-12-28","freemium","Unknown",Conversational,"2025-07-11T06:25:48.825Z"
"Mistral: Mixtral 8x7B Instruct","Mistral:-Mixtral-8x7B","Unknown","7B","https://openrouter.ai/docs","2023-12-10","freemium","Unknown",Conversational,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude v2.1 (self-moderated)","Anthropic:-Claude-v2.1","Unknown","Unknown","https://openrouter.ai/docs","2023-11-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude v2.1","Anthropic:-Claude-v2.1","Unknown","Unknown","https://openrouter.ai/docs","2023-11-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude v2 (self-moderated)","Anthropic:-Claude-(self","Unknown","Unknown","https://openrouter.ai/docs","2023-11-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude v2","Anthropic:-Claude","Unknown","Unknown","https://openrouter.ai/docs","2023-11-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-4 Turbo (older v1106)","OpenAI:-GPT-Turbo","Unknown","Unknown","https://openrouter.ai/docs","2023-11-06","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Mistral: Mistral 7B Instruct v0.1","Mistral:-Mistral-v0.1","Unknown","7B","https://openrouter.ai/docs","2023-09-28","freemium","Unknown",Conversational,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-3.5 Turbo Instruct","OpenAI:-GPT-3.5","Unknown","Unknown","https://openrouter.ai/docs","2023-09-28","freemium","Unknown",Conversational,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-3.5 Turbo 16k","OpenAI:-GPT-3.5","Unknown","16K","https://openrouter.ai/docs","2023-08-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude v2.0 (self-moderated)","Anthropic:-Claude-v2.0","Unknown","Unknown","https://openrouter.ai/docs","2023-07-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"Anthropic: Claude v2.0","Anthropic:-Claude-v2.0","Unknown","Unknown","https://openrouter.ai/docs","2023-07-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-4","OpenAI:-GPT","Unknown","Unknown","https://openrouter.ai/docs","2023-05-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
"OpenAI: GPT-4 (older v0314)","OpenAI:-GPT-(older","Unknown","Unknown","https://openrouter.ai/docs","2023-05-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.825Z"
