name,publisher,sourceUrl,releaseDate,accessType,license,inferenceSupport,source,country,modelSize,capabilities,lastUpdated
"WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","WHDtyrael","https://huggingface.co/WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","2025-07-11T06:07:28.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.341Z"
"Aganonce/sleep_ai","Aganonce","https://huggingface.co/Aganonce/sleep_ai","2025-07-11T06:07:21.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","Unknown",Text Generation,"2025-07-11T06:08:07.341Z"
"rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","rudra-sol","https://huggingface.co/rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","2025-07-11T06:07:19.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.341Z"
"OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","OkiBayrm","https://huggingface.co/OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","2025-07-11T06:07:16.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.341Z"
"p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","p2g6gensyn","https://huggingface.co/p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","2025-07-11T06:07:06.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:08:07.341Z"
"hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","hitmaaaaan","https://huggingface.co/hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","2025-07-11T06:06:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.341Z"
"p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","p2g7gensyn","https://huggingface.co/p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","2025-07-11T06:06:47.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:08:07.341Z"
"Alexshake78/Qwen3-0.6B-Gensyn-Swarm-darting_endangered_eel","Alexshake78","https://huggingface.co/Alexshake78/Qwen3-0.6B-Gensyn-Swarm-darting_endangered_eel","2025-07-11T06:06:46.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.341Z"
"Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","Kapitaka","https://huggingface.co/Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","2025-07-11T06:06:40.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.341Z"
"ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","ecamli","https://huggingface.co/ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","2025-07-11T06:06:29.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","p2g5dolph3","https://huggingface.co/p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","2025-07-11T06:06:17.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","hazentr","https://huggingface.co/hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","2025-07-11T06:06:07.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","namfuentesganti","https://huggingface.co/namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","2025-07-11T06:05:53.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.342Z"
"Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","Angi54","https://huggingface.co/Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","2025-07-11T06:05:50.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.342Z"
"ryokuchasan3333333/Qwen3-0.6B-Gensyn-Swarm-placid_timid_dog","ryokuchasan3333333","https://huggingface.co/ryokuchasan3333333/Qwen3-0.6B-Gensyn-Swarm-placid_timid_dog","2025-07-11T06:05:35.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.342Z"
"vomqal/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-masked_snappy_caribou","vomqal","https://huggingface.co/vomqal/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-masked_snappy_caribou","2025-07-11T06:05:32.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"leonmullerrr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-coiled_wild_mouse","leonmullerrr","https://huggingface.co/leonmullerrr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-coiled_wild_mouse","2025-07-11T06:05:23.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","infoipman","https://huggingface.co/infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","2025-07-11T06:05:11.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.342Z"
"MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","MaxVell337","https://huggingface.co/MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","2025-07-11T06:05:03.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","aramzz","https://huggingface.co/aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","2025-07-11T06:05:01.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","kkokas","https://huggingface.co/kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","2025-07-11T06:04:53.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.342Z"
"NTIS/hf_gemma3_4b_5-checkpoint-46000","NTIS","https://huggingface.co/NTIS/hf_gemma3_4b_5-checkpoint-46000","2025-07-11T06:04:48.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","Unknown",Text Generation,"2025-07-11T06:08:07.342Z"
"LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","LaidBackReed","https://huggingface.co/LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","2025-07-11T06:04:45.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.342Z"
"silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","silverbenehi","https://huggingface.co/silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","2025-07-11T06:04:44.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","Mioku","https://huggingface.co/Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","2025-07-11T06:04:41.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.342Z"
"Galchonok/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-territorial_alert_nightingale","Galchonok","https://huggingface.co/Galchonok/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-territorial_alert_nightingale","2025-07-11T06:04:37.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","AlexanderArtT","https://huggingface.co/AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","2025-07-11T06:04:31.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.343Z"
"0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","0xshaf","https://huggingface.co/0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","2025-07-11T06:04:29.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"pavlodp/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-exotic_pawing_wombat","pavlodp","https://huggingface.co/pavlodp/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-exotic_pawing_wombat","2025-07-11T06:04:23.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-quick_timid_frog","hazentr","https://huggingface.co/hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-quick_timid_frog","2025-07-11T06:04:22.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"skyxyz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-purring_humming_chicken","skyxyz","https://huggingface.co/skyxyz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-purring_humming_chicken","2025-07-11T06:04:13.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"starburned/AceInstruct-1.5B-Gensyn-Swarm-scurrying_ravenous_chinchilla","starburned","https://huggingface.co/starburned/AceInstruct-1.5B-Gensyn-Swarm-scurrying_ravenous_chinchilla","2025-07-11T06:04:10.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","kcfabulosa","https://huggingface.co/kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","2025-07-11T06:04:07.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","khangnguyen1287","https://huggingface.co/khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","2025-07-11T06:04:04.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.343Z"
"akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","akdevelopers1","https://huggingface.co/akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","2025-07-11T06:03:59.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","insanesaga","https://huggingface.co/insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","2025-07-11T06:03:57.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.343Z"
"anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","anatolijbatalko","https://huggingface.co/anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","2025-07-11T06:03:55.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","p2g8gensyn","https://huggingface.co/p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","2025-07-11T06:03:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:08:07.343Z"
"RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","RyzenXT","https://huggingface.co/RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","2025-07-11T06:03:45.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.343Z"
"andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","andr0m4da","https://huggingface.co/andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","2025-07-11T06:03:41.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.343Z"
"DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","DTebias","https://huggingface.co/DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","2025-07-11T06:03:36.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","0xtinuviel","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","2025-07-11T06:03:34.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","maki28","https://huggingface.co/maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","2025-07-11T06:03:33.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.343Z"
"p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","p2g2ads3","https://huggingface.co/p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","2025-07-11T06:03:31.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.344Z"
"andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","andriuusa","https://huggingface.co/andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","2025-07-11T06:03:23.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.344Z"
