name,publisher,sourceUrl,releaseDate,accessType,license,inferenceSupport,source,country,modelSize,capabilities,lastUpdated
"p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","p2g4ads5","https://huggingface.co/p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","2025-07-11T05:14:13.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T05:14:21.113Z"
"Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","Kapitaka","https://huggingface.co/Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","2025-07-11T05:14:08.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.114Z"
"kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","kkokas","https://huggingface.co/kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","2025-07-11T05:13:58.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.114Z"
"AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","AlexanderArtT","https://huggingface.co/AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","2025-07-11T05:13:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.114Z"
"infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","infoipman","https://huggingface.co/infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","2025-07-11T05:13:46.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.114Z"
"p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","p2g2ads3","https://huggingface.co/p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","2025-07-11T05:13:46.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.114Z"
"kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","kcfabulosa","https://huggingface.co/kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","2025-07-11T05:13:38.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.114Z"
"lhkhiem28/llama-3.2-3b-spin-iter0","lhkhiem28","https://huggingface.co/lhkhiem28/llama-3.2-3b-spin-iter0","2025-07-11T05:13:38.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","3B",Text Generation,"2025-07-11T05:14:21.114Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","0xtinuviel","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","2025-07-11T05:13:34.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.114Z"
"andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","andr0m4da","https://huggingface.co/andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","2025-07-11T05:13:33.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.114Z"
"Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","Kita1111","https://huggingface.co/Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","2025-07-11T05:13:26.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.114Z"
"shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","shapka187","https://huggingface.co/shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","2025-07-11T05:13:26.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T05:14:21.115Z"
"akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","akdevelopers1","https://huggingface.co/akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","2025-07-11T05:13:26.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.115Z"
"Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon","Maximuswdmaster","https://huggingface.co/Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon","2025-07-11T05:13:18.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.115Z"
"Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","Angi54","https://huggingface.co/Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","2025-07-11T05:13:14.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.115Z"
"khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","khangnguyen1287","https://huggingface.co/khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","2025-07-11T05:13:07.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.115Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","0xtinuviel","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","2025-07-11T05:13:04.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.115Z"
"RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","RyzenXT","https://huggingface.co/RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","2025-07-11T05:12:50.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.115Z"
"rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","rudra-sol","https://huggingface.co/rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","2025-07-11T05:12:33.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.115Z"
"anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","anatolijbatalko","https://huggingface.co/anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","2025-07-11T05:12:30.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.116Z"
"konstantinp2p/Qwen3-0.6B-Gensyn-Swarm-pouncing_peckish_crane","konstantinp2p","https://huggingface.co/konstantinp2p/Qwen3-0.6B-Gensyn-Swarm-pouncing_peckish_crane","2025-07-11T05:12:27.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.116Z"
"hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","hazentr","https://huggingface.co/hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","2025-07-11T05:12:22.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.116Z"
"p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","p2g7gensyn","https://huggingface.co/p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","2025-07-11T05:12:19.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T05:14:21.116Z"
"Alexshake78/Qwen3-0.6B-Gensyn-Swarm-darting_endangered_eel","Alexshake78","https://huggingface.co/Alexshake78/Qwen3-0.6B-Gensyn-Swarm-darting_endangered_eel","2025-07-11T05:12:12.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.116Z"
"OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","OkiBayrm","https://huggingface.co/OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","2025-07-11T05:12:11.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.116Z"
"NORI7/Qwen3-0.6B-Gensyn-Swarm-crested_sniffing_cockroach","NORI7","https://huggingface.co/NORI7/Qwen3-0.6B-Gensyn-Swarm-crested_sniffing_cockroach","2025-07-11T05:12:06.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.116Z"
"NTIS/hf_gemma3_4b_3-checkpoint-31000","NTIS","https://huggingface.co/NTIS/hf_gemma3_4b_3-checkpoint-31000","2025-07-11T05:12:05.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","Unknown",Text Generation,"2025-07-11T05:14:21.152Z"
"namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","namfuentesganti","https://huggingface.co/namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","2025-07-11T05:12:03.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.152Z"
"hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","hitmaaaaan","https://huggingface.co/hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","2025-07-11T05:11:56.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.152Z"
"0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","0xshaf","https://huggingface.co/0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","2025-07-11T05:11:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.152Z"
"meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox","meowstronot","https://huggingface.co/meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox","2025-07-11T05:11:44.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.152Z"
"p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","p2g5dolph3","https://huggingface.co/p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","2025-07-11T05:11:34.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.152Z"
"ryokuchasan3333333/Qwen3-0.6B-Gensyn-Swarm-placid_timid_dog","ryokuchasan3333333","https://huggingface.co/ryokuchasan3333333/Qwen3-0.6B-Gensyn-Swarm-placid_timid_dog","2025-07-11T05:11:31.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.153Z"
"SaminSkyfall/sft_full_1.7","SaminSkyfall","https://huggingface.co/SaminSkyfall/sft_full_1.7","2025-07-11T05:11:19.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","Unknown",Text Generation,"2025-07-11T05:14:21.153Z"
"andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","andriuusa","https://huggingface.co/andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","2025-07-11T05:11:16.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.153Z"
"MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","MaxVell337","https://huggingface.co/MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","2025-07-11T05:10:59.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"whereisandyk/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-spotted_mimic_panther","whereisandyk","https://huggingface.co/whereisandyk/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-spotted_mimic_panther","2025-07-11T05:10:59.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"pavlodp/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-exotic_pawing_wombat","pavlodp","https://huggingface.co/pavlodp/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-exotic_pawing_wombat","2025-07-11T05:10:35.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"cozymon/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dense_lanky_caribou","cozymon","https://huggingface.co/cozymon/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dense_lanky_caribou","2025-07-11T05:10:30.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"skyxyz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-purring_humming_chicken","skyxyz","https://huggingface.co/skyxyz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-purring_humming_chicken","2025-07-11T05:10:28.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","p2g6gensyn","https://huggingface.co/p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","2025-07-11T05:10:10.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T05:14:21.153Z"
"silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","silverbenehi","https://huggingface.co/silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","2025-07-11T05:10:01.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"Xeil84/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_bristly_pig","Xeil84","https://huggingface.co/Xeil84/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_bristly_pig","2025-07-11T05:09:58.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"mradermacher/Mistral-7B-Instruct-v0.3-DesarrolloSoftware1-GGUF","mradermacher","https://huggingface.co/mradermacher/Mistral-7B-Instruct-v0.3-DesarrolloSoftware1-GGUF","2025-07-11T05:09:57.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","7B",Conversational,"2025-07-11T05:14:21.153Z"
"vhphuoc1102/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-miniature_vicious_caribou","vhphuoc1102","https://huggingface.co/vhphuoc1102/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-miniature_vicious_caribou","2025-07-11T05:09:56.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","aramzz","https://huggingface.co/aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","2025-07-11T05:09:51.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T05:14:21.153Z"
"WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","WHDtyrael","https://huggingface.co/WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","2025-07-11T05:09:51.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.153Z"
"insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","insanesaga","https://huggingface.co/insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","2025-07-11T05:09:23.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.153Z"
"narkomax/Qwen3-0.6B-Gensyn-Swarm-squinting_fierce_squirrel","narkomax","https://huggingface.co/narkomax/Qwen3-0.6B-Gensyn-Swarm-squinting_fierce_squirrel","2025-07-11T05:09:16.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.153Z"
