name,shortName,country,modelSize,releaseDate,accessType,license,capabilities,validation_notes
"YoungDolph/Qwen2.5-0.5B-Gensyn-Swarm-whiskered_marine_goose","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"zuruyu/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-leaping_leaping_donkey","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"singlegun/Qwen3-0.6B-Gensyn-Swarm-cunning_untamed_capybara","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Leoman777/Qwen3-0.6B-Gensyn-Swarm-striped_armored_gerbil","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Fort171991/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_sleek_elephant","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","Qwen3-0.6B-Gensyn","China","0M","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Galchonok/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-territorial_alert_nightingale","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","Qwen2.5-1.5B-Gensyn","China","1.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"okuzarabasi/Qwen3-0.6B-Gensyn-Swarm-grunting_toothy_elk","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"astardusta/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-clawed_dappled_giraffe","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Sanyazib/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-savage_sprightly_viper","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"NORI7/Qwen3-0.6B-Gensyn-Swarm-crested_sniffing_cockroach","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","AceInstruct-1.5B-Gensyn","US","1.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"BakareOfEde/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_skilled_mongoose","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Mistral: Devstral Medium","Mistral:-Devstral-Medium","France","Unknown","2025-07-10","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Devstral Small 1.1","Mistral:-Devstral-Small","France","Unknown","2025-07-10","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Mistral Small 3.2 24B (free)","Mistral:-Mistral-Small","France","24B","2025-06-20","freemium","Unknown","Text Generation","License unverified"
"Mistral: Mistral Small 3.2 24B","Mistral:-Mistral-Small","France","24B","2025-06-20","freemium","Unknown","Text Generation","License unverified"
"Mistral: Magistral Small 2506","Mistral:-Magistral-Small","France","Unknown","2025-06-10","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Magistral Medium 2506","Mistral:-Magistral-Medium","France","Unknown","2025-06-08","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Magistral Medium 2506 (thinking)","Mistral:-Magistral-Medium","France","Unknown","2025-06-08","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude Opus 4","Anthropic:-Claude-Opus","US","Unknown","2025-05-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude Sonnet 4","Anthropic:-Claude-Sonnet","US","Unknown","2025-05-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Devstral Small 2505 (free)","Mistral:-Devstral-Small","France","Unknown","2025-05-21","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Devstral Small 2505","Mistral:-Devstral-Small","France","Unknown","2025-05-21","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Mistral Medium 3","Mistral:-Mistral-Medium","France","Unknown","2025-05-07","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: Llama Guard 4 12B","Meta:-Llama-Guard","US","12B","2025-04-30","freemium","Unknown","Text Generation","License unverified"
"Shisa AI: Shisa V2 Llama 3.3 70B  (free)","Shisa-AI:-Shisa","US","70B","2025-04-15","freemium","Unknown","Text Generation","License unverified"
"OpenAI: GPT-4.1","OpenAI:-GPT-4.1","US","Unknown","2025-04-14","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4.1 Mini","OpenAI:-GPT-4.1","US","Unknown","2025-04-14","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4.1 Nano","OpenAI:-GPT-4.1","US","Unknown","2025-04-14","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"AlfredPros: CodeLLaMa 7B Instruct Solidity","AlfredPros:-CodeLLaMa-Solidity","US","7B","2025-04-14","freemium","Unknown","Conversational & Code Generation","License unverified"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1 (free)","NVIDIA:-Llama-3.3","US","49B","2025-04-08","freemium","Unknown","Text Generation","License unverified"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1","NVIDIA:-Llama-3.3","US","49B","2025-04-08","freemium","Unknown","Text Generation","License unverified"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 (free)","NVIDIA:-Llama-3.1","US","253B","2025-04-08","freemium","Unknown","Text Generation","License unverified"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1","NVIDIA:-Llama-3.1","US","253B","2025-04-08","freemium","Unknown","Text Generation","License unverified"
"Meta: Llama 4 Maverick (free)","Meta:-Llama-Maverick","US","Unknown","2025-04-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: Llama 4 Maverick","Meta:-Llama-Maverick","US","Unknown","2025-04-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: Llama 4 Scout (free)","Meta:-Llama-Scout","US","Unknown","2025-04-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: Llama 4 Scout","Meta:-Llama-Scout","US","Unknown","2025-04-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Mistral Small 3.1 24B (free)","Mistral:-Mistral-Small","France","24B","2025-03-17","freemium","Unknown","Text Generation","License unverified"
"Mistral: Mistral Small 3.1 24B","Mistral:-Mistral-Small","France","24B","2025-03-17","freemium","Unknown","Text Generation","License unverified"
"OpenAI: GPT-4o-mini Search Preview","OpenAI:-GPT-mini","US","Unknown","2025-03-12","freemium","Unknown","RAG","License unverified; Model size not specified"
"OpenAI: GPT-4o Search Preview","OpenAI:-GPT-Search","US","Unknown","2025-03-12","freemium","Unknown","RAG","License unverified; Model size not specified"
"Nous: DeepHermes 3 Llama 3 8B Preview (free)","Nous:-DeepHermes-Llama","US","8B","2025-02-28","freemium","Unknown","Text Generation","License unverified"
"OpenAI: GPT-4.5 (Preview)","OpenAI:-GPT-4.5","US","Unknown","2025-02-27","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.7 Sonnet","Anthropic:-Claude-3.7","US","Unknown","2025-02-24","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.7 Sonnet (thinking)","Anthropic:-Claude-3.7","US","Unknown","2025-02-24","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.7 Sonnet (self-moderated)","Anthropic:-Claude-3.7","US","Unknown","2025-02-24","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Saba","Mistral:-Saba","France","Unknown","2025-02-17","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Dolphin3.0 R1 Mistral 24B (free)","Dolphin3.0-Mistral-24B","US","24B","2025-02-13","freemium","Unknown","Text Generation","License unverified"
"Dolphin3.0 Mistral 24B (free)","Dolphin3.0-Mistral-24B","US","24B","2025-02-13","freemium","Unknown","Text Generation","License unverified"
"Llama Guard 3 8B","Llama-Guard","US","8B","2025-02-12","freemium","Unknown","Text Generation","License unverified"
"DeepSeek: R1 Distill Llama 8B","DeepSeek:-Distill-Llama","China","8B","2025-02-07","freemium","Unknown","Text Generation","License unverified"
"Mistral: Mistral Small 3 (free)","Mistral:-Mistral-Small","France","Unknown","2025-01-30","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Mistral Small 3","Mistral:-Mistral-Small","France","Unknown","2025-01-30","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"DeepSeek: R1 Distill Llama 70B (free)","DeepSeek:-Distill-Llama","China","70B","2025-01-23","freemium","Unknown","Text Generation","License unverified"
"DeepSeek: R1 Distill Llama 70B","DeepSeek:-Distill-Llama","China","70B","2025-01-23","freemium","Unknown","Text Generation","License unverified"
"Mistral: Codestral 2501","Mistral:-Codestral-2501","France","Unknown","2025-01-14","freemium","Unknown","Code Generation","License unverified; Model size not specified"
"Sao10K: Llama 3.3 Euryale 70B","Sao10K:-Llama-3.3","US","70B","2024-12-18","freemium","Unknown","Text Generation","License unverified"
"EVA Llama 3.33 70B","EVA-Llama-3.33","US","70B","2024-12-16","freemium","Unknown","Text Generation","License unverified"
"Meta: Llama 3.3 70B Instruct (free)","Meta:-Llama-3.3","US","70B","2024-12-06","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.3 70B Instruct","Meta:-Llama-3.3","US","70B","2024-12-06","freemium","Unknown","Conversational","License unverified"
"OpenAI: GPT-4o (2024-11-20)","OpenAI:-GPT-(2024","US","Unknown","2024-11-20","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral Large 2411","Mistral-Large-2411","France","Unknown","2024-11-19","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral Large 2407","Mistral-Large-2407","France","Unknown","2024-11-19","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Pixtral Large 2411","Mistral:-Pixtral-Large","France","Unknown","2024-11-19","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Infermatic: Mistral Nemo Inferor 12B","Infermatic:-Mistral-Nemo","France","12B","2024-11-13","freemium","Unknown","Text Generation","License unverified"
"Anthropic: Claude 3.5 Haiku (self-moderated)","Anthropic:-Claude-3.5","US","Unknown","2024-11-04","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Haiku","Anthropic:-Claude-3.5","US","Unknown","2024-11-04","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated)","Anthropic:-Claude-3.5","US","Unknown","2024-11-04","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Haiku (2024-10-22)","Anthropic:-Claude-3.5","US","Unknown","2024-11-04","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Sonnet (self-moderated)","Anthropic:-Claude-3.5","US","Unknown","2024-10-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Sonnet","Anthropic:-Claude-3.5","US","Unknown","2024-10-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Ministral 8B","Mistral:-Ministral","France","8B","2024-10-17","freemium","Unknown","Text Generation","License unverified"
"Mistral: Ministral 3B","Mistral:-Ministral","France","3B","2024-10-17","freemium","Unknown","Text Generation","License unverified"
"NVIDIA: Llama 3.1 Nemotron 70B Instruct","NVIDIA:-Llama-3.1","US","70B","2024-10-15","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.2 3B Instruct (free)","Meta:-Llama-3.2","US","3B","2024-09-25","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.2 3B Instruct","Meta:-Llama-3.2","US","3B","2024-09-25","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.2 1B Instruct","Meta:-Llama-3.2","US","1B","2024-09-25","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.2 90B Vision Instruct","Meta:-Llama-3.2","US","90B","2024-09-25","freemium","Unknown","Conversational & Vision","License unverified"
"Meta: Llama 3.2 11B Vision Instruct (free)","Meta:-Llama-3.2","US","11B","2024-09-25","freemium","Unknown","Conversational & Vision","License unverified"
"Meta: Llama 3.2 11B Vision Instruct","Meta:-Llama-3.2","US","11B","2024-09-25","freemium","Unknown","Conversational & Vision","License unverified"
"Mistral: Pixtral 12B","Mistral:-Pixtral-12B","France","12B","2024-09-10","freemium","Unknown","Text Generation","License unverified"
"Sao10K: Llama 3.1 Euryale 70B v2.2","Sao10K:-Llama-3.1","US","70B","2024-08-28","freemium","Unknown","Text Generation","License unverified"
"OpenAI: ChatGPT-4o","OpenAI:-ChatGPT","US","Unknown","2024-08-14","freemium","Unknown","Conversational","License unverified; Model size not specified"
"Sao10K: Llama 3 8B Lunaris","Sao10K:-Llama-Lunaris","US","8B","2024-08-13","freemium","Unknown","Text Generation","License unverified"
"OpenAI: GPT-4o (2024-08-06)","OpenAI:-GPT-(2024","US","Unknown","2024-08-06","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: Llama 3.1 405B (base)","Meta:-Llama-3.1","US","405B","2024-08-02","freemium","Unknown","Text Generation","License unverified"
"Mistral Nemo 12B Celeste","Mistral-Nemo-12B","France","12B","2024-08-02","freemium","Unknown","Text Generation","License unverified"
"Meta: Llama 3.1 8B Instruct","Meta:-Llama-3.1","US","8B","2024-07-23","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.1 405B Instruct (free)","Meta:-Llama-3.1","US","405B","2024-07-23","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.1 405B Instruct","Meta:-Llama-3.1","US","405B","2024-07-23","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3.1 70B Instruct","Meta:-Llama-3.1","US","70B","2024-07-23","freemium","Unknown","Conversational","License unverified"
"Mistral: Mistral Nemo (free)","Mistral:-Mistral-Nemo","France","Unknown","2024-07-19","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Mistral Nemo","Mistral:-Mistral-Nemo","France","Unknown","2024-07-19","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4o-mini","OpenAI:-GPT-mini","US","Unknown","2024-07-18","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4o-mini (2024-07-18)","OpenAI:-GPT-mini","US","Unknown","2024-07-18","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated)","Anthropic:-Claude-3.5","US","Unknown","2024-06-20","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3.5 Sonnet (2024-06-20)","Anthropic:-Claude-3.5","US","Unknown","2024-06-20","freemium","Unknown","Text Generation","License unverified; Model size not specified"
