name,publisher,sourceUrl,releaseDate,accessType,license,inferenceSupport,source,country,modelSize,capabilities,lastUpdated
"Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","Angi54","https://huggingface.co/Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","2025-07-11T06:09:03.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.684Z"
"hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-quick_timid_frog","hazentr","https://huggingface.co/hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-quick_timid_frog","2025-07-11T06:08:56.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","DTebias","https://huggingface.co/DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","2025-07-11T06:08:56.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","Mioku","https://huggingface.co/Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","2025-07-11T06:08:53.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","shapka187","https://huggingface.co/shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","2025-07-11T06:08:53.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:10:30.685Z"
"kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","kkokas","https://huggingface.co/kkokas/Qwen3-0.6B-Gensyn-Swarm-leggy_robust_wolf","2025-07-11T06:08:53.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.685Z"
"infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","infoipman","https://huggingface.co/infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","2025-07-11T06:08:51.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.685Z"
"p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","p2g2ads3","https://huggingface.co/p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","2025-07-11T06:08:50.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.685Z"
"RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","RyzenXT","https://huggingface.co/RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","2025-07-11T06:08:48.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.685Z"
"Leoman777/Qwen3-0.6B-Gensyn-Swarm-striped_armored_gerbil","Leoman777","https://huggingface.co/Leoman777/Qwen3-0.6B-Gensyn-Swarm-striped_armored_gerbil","2025-07-11T06:08:46.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.685Z"
"Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon","Maximuswdmaster","https://huggingface.co/Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon","2025-07-11T06:08:43.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.685Z"
"Galchonok/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-territorial_alert_nightingale","Galchonok","https://huggingface.co/Galchonok/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-territorial_alert_nightingale","2025-07-11T06:08:42.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.685Z"
"Aganonce/sleep_ai","Aganonce","https://huggingface.co/Aganonce/sleep_ai","2025-07-11T06:08:42.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","Unknown",Text Generation,"2025-07-11T06:10:30.685Z"
"mlx-community/Kimi-Dev-72B-4bit","mlx-community","https://huggingface.co/mlx-community/Kimi-Dev-72B-4bit","2025-07-11T06:08:41.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","72B",Text Generation,"2025-07-11T06:10:30.686Z"
"crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","crepsly","https://huggingface.co/crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","2025-07-11T06:08:39.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.686Z"
"Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","Kita1111","https://huggingface.co/Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","2025-07-11T06:08:36.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.686Z"
"meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox","meowstronot","https://huggingface.co/meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox","2025-07-11T06:08:29.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.686Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","0xtinuviel","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","2025-07-11T06:08:25.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.686Z"
"kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","kcfabulosa","https://huggingface.co/kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","2025-07-11T06:08:24.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.686Z"
"akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","akdevelopers1","https://huggingface.co/akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","2025-07-11T06:08:24.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.686Z"
"konstantinp2p/Qwen3-0.6B-Gensyn-Swarm-pouncing_peckish_crane","konstantinp2p","https://huggingface.co/konstantinp2p/Qwen3-0.6B-Gensyn-Swarm-pouncing_peckish_crane","2025-07-11T06:08:11.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.686Z"
"AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","AlexanderArtT","https://huggingface.co/AlexanderArtT/Qwen3-0.6B-Gensyn-Swarm-tiny_nimble_warthog","2025-07-11T06:08:05.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.687Z"
"NTIS/hf_gemma3_4b_5-checkpoint-47000","NTIS","https://huggingface.co/NTIS/hf_gemma3_4b_5-checkpoint-47000","2025-07-11T06:08:02.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","Unknown",Text Generation,"2025-07-11T06:10:30.687Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","0xtinuviel","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","2025-07-11T06:07:52.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.687Z"
"baryen/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-sizable_woolly_fly","baryen","https://huggingface.co/baryen/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-sizable_woolly_fly","2025-07-11T06:07:48.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.687Z"
"Xeil84/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_bristly_pig","Xeil84","https://huggingface.co/Xeil84/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_bristly_pig","2025-07-11T06:07:47.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.687Z"
"alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","alsandeer33","https://huggingface.co/alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","2025-07-11T06:07:38.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.687Z"
"whereisandyk/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-spotted_mimic_panther","whereisandyk","https://huggingface.co/whereisandyk/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-spotted_mimic_panther","2025-07-11T06:07:33.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.687Z"
"WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","WHDtyrael","https://huggingface.co/WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","2025-07-11T06:07:28.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.687Z"
"rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","rudra-sol","https://huggingface.co/rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","2025-07-11T06:07:19.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.687Z"
"OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","OkiBayrm","https://huggingface.co/OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","2025-07-11T06:07:16.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.687Z"
"p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","p2g6gensyn","https://huggingface.co/p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","2025-07-11T06:07:06.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:10:30.687Z"
"hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","hitmaaaaan","https://huggingface.co/hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","2025-07-11T06:06:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.687Z"
"p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","p2g7gensyn","https://huggingface.co/p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","2025-07-11T06:06:47.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:10:30.687Z"
"Mistral: Devstral Medium","OpenRouter","https://openrouter.ai/docs","2025-07-10","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Devstral Small 1.1","OpenRouter","https://openrouter.ai/docs","2025-07-10","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Mistral Small 3.2 24B (free)","OpenRouter","https://openrouter.ai/docs","2025-06-20","freemium","Unknown","","OpenRouter","Unknown","24B",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Mistral Small 3.2 24B","OpenRouter","https://openrouter.ai/docs","2025-06-20","freemium","Unknown","","OpenRouter","Unknown","24B",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Magistral Small 2506","OpenRouter","https://openrouter.ai/docs","2025-06-10","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Magistral Medium 2506","OpenRouter","https://openrouter.ai/docs","2025-06-08","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Magistral Medium 2506 (thinking)","OpenRouter","https://openrouter.ai/docs","2025-06-08","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Anthropic: Claude Opus 4","OpenRouter","https://openrouter.ai/docs","2025-05-22","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Anthropic: Claude Sonnet 4","OpenRouter","https://openrouter.ai/docs","2025-05-22","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Devstral Small 2505 (free)","OpenRouter","https://openrouter.ai/docs","2025-05-21","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Devstral Small 2505","OpenRouter","https://openrouter.ai/docs","2025-05-21","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Mistral: Mistral Medium 3","OpenRouter","https://openrouter.ai/docs","2025-05-07","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"Meta: Llama Guard 4 12B","OpenRouter","https://openrouter.ai/docs","2025-04-30","freemium","Unknown","","OpenRouter","Unknown","12B",Text Generation,"2025-07-11T06:10:30.688Z"
"Shisa AI: Shisa V2 Llama 3.3 70B  (free)","OpenRouter","https://openrouter.ai/docs","2025-04-15","freemium","Unknown","","OpenRouter","Unknown","70B",Text Generation,"2025-07-11T06:10:30.688Z"
"OpenAI: GPT-4.1","OpenRouter","https://openrouter.ai/docs","2025-04-14","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"OpenAI: GPT-4.1 Mini","OpenRouter","https://openrouter.ai/docs","2025-04-14","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"OpenAI: GPT-4.1 Nano","OpenRouter","https://openrouter.ai/docs","2025-04-14","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.688Z"
"AlfredPros: CodeLLaMa 7B Instruct Solidity","OpenRouter","https://openrouter.ai/docs","2025-04-14","freemium","Unknown","","OpenRouter","Unknown","7B",Conversational,Code Generation,"2025-07-11T06:10:30.688Z"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1 (free)","OpenRouter","https://openrouter.ai/docs","2025-04-08","freemium","Unknown","","OpenRouter","Unknown","49B",Text Generation,"2025-07-11T06:10:30.688Z"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1","OpenRouter","https://openrouter.ai/docs","2025-04-08","freemium","Unknown","","OpenRouter","Unknown","49B",Text Generation,"2025-07-11T06:10:30.688Z"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 (free)","OpenRouter","https://openrouter.ai/docs","2025-04-08","freemium","Unknown","","OpenRouter","Unknown","253B",Text Generation,"2025-07-11T06:10:30.688Z"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1","OpenRouter","https://openrouter.ai/docs","2025-04-08","freemium","Unknown","","OpenRouter","Unknown","253B",Text Generation,"2025-07-11T06:10:30.688Z"
"Meta: Llama 4 Maverick (free)","OpenRouter","https://openrouter.ai/docs","2025-04-05","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.689Z"
"Meta: Llama 4 Maverick","OpenRouter","https://openrouter.ai/docs","2025-04-05","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.689Z"
"Meta: Llama 4 Scout (free)","OpenRouter","https://openrouter.ai/docs","2025-04-05","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.689Z"
"Meta: Llama 4 Scout","OpenRouter","https://openrouter.ai/docs","2025-04-05","freemium","Unknown","","OpenRouter","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.689Z"
