name,shortName,country,modelSize,sourceUrl,releaseDate,accessType,license,capabilities,lastUpdated
"DiscordLLM","DiscordLLM","Unknown","Unknown","https://github.com/boshyxd/DiscordLLM","2024-06-23","Open Source","MIT License",Text Generation,"2025-07-11T07:18:52.391Z"
"chatgpt-prompt-splitter","chatgpt-prompt-splitter","Unknown","Unknown","https://github.com/jupediaz/chatgpt-prompt-splitter","2023-03-16","Open Source","MIT License",Conversational,"2025-07-11T07:18:52.391Z"
"ChatGPT-Mobile","ChatGPT-Mobile","Unknown","Unknown","https://github.com/slxmmy999/ChatGPT-Mobile","2023-05-17","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"LLaMa-Language-Model-Repository","LLaMa-Language-Repository","Unknown","Unknown","https://github.com/ariankharazmi/LLaMa-Language-Model-Repository","2023-03-15","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"torchKbert","torchKbert","Unknown","Unknown","https://github.com/KKenny0/torchKbert","2021-03-03","Open Source","Apache License 2.0",Text Generation,"2025-07-11T07:18:52.391Z"
"NTIS/hf_gemma3_4b_7-checkpoint-59000","gemma3-checkpoint-59000","US","Unknown","https://huggingface.co/NTIS/hf_gemma3_4b_7-checkpoint-59000","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/p2g7gensyn/Qwen2.5-0.5B-Gensyn-Swarm-rabid_slow_clam","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","AceInstruct-1.5B-Gensyn","US","5B","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-armored_mighty_quail","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/rudra-sol/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-mottled_beaked_jaguar","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"KarusG/Qwen3-0.6B-Gensyn-Swarm-roaring_soft_leopard","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/KarusG/Qwen3-0.6B-Gensyn-Swarm-roaring_soft_leopard","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/p2g2ads3/Qwen3-0.6B-Gensyn-Swarm-placid_timid_cheetah","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","AceInstruct-1.5B-Gensyn","US","5B","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/RyzenXT/Qwen3-0.6B-Gensyn-Swarm-grassy_patterned_bison","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.391Z"
"astardusta/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-clawed_dappled_giraffe","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/astardusta/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-clawed_dappled_giraffe","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.391Z"
"Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/Kapitaka/Qwen3-0.6B-Gensyn-Swarm-tawny_meek_cheetah","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"vhphuoc1102/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-miniature_vicious_caribou","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/vhphuoc1102/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-miniature_vicious_caribou","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dextrous_domestic_cobra","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/OkiBayrm/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-lanky_curious_newt","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/WHDtyrael/Qwen3-0.6B-Gensyn-Swarm-bellowing_giant_hare","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/shapka187/Qwen2.5-0.5B-Gensyn-Swarm-docile_lanky_gibbon","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/hitmaaaaan/Qwen3-0.6B-Gensyn-Swarm-jagged_restless_nightingale","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/DTebias/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hoarse_muscular_cassowary","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"cozymon/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dense_lanky_caribou","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/cozymon/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dense_lanky_caribou","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/insanesaga/Qwen3-0.6B-Gensyn-Swarm-nocturnal_clawed_bison","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"NTIS/hf_gemma3_4b_7-checkpoint-58000","gemma3-checkpoint-58000","US","Unknown","https://huggingface.co/NTIS/hf_gemma3_4b_7-checkpoint-58000","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/Mioku/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-beaked_wise_fly","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.392Z"
"ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","Qwen2.5-1.5B-Gensyn","US","5B","https://huggingface.co/ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.392Z"
"ryokuchasan3333333/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-placid_timid_dog","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/ryokuchasan3333333/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-placid_timid_dog","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.393Z"
"p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/akdevelopers1/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-omnivorous_domestic_trout","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.393Z"
"maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.393Z"
"kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/kcfabulosa/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-gentle_jumping_termite","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.393Z"
"aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.393Z"
"Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dormant_furry_toucan","Qwen2.5-0.5B-Gensyn","US","5B","https://huggingface.co/Kita1111/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-dormant_furry_toucan","2025-07-11","Open Source","Unknown",Conversational,"2025-07-11T07:18:52.393Z"
"crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/infoipman/Qwen3-0.6B-Gensyn-Swarm-tall_mammalian_caribou","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"okuzarabasi/Qwen3-0.6B-Gensyn-Swarm-grunting_toothy_elk","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/okuzarabasi/Qwen3-0.6B-Gensyn-Swarm-grunting_toothy_elk","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Leoman777/Qwen3-0.6B-Gensyn-Swarm-striped_armored_gerbil","Qwen3-0.6B-Gensyn","US","6B","https://huggingface.co/Leoman777/Qwen3-0.6B-Gensyn-Swarm-striped_armored_gerbil","2025-07-11","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Devstral Medium","Mistral:-Devstral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-07-10","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Devstral Small 1.1","Mistral:-Devstral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-07-10","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Mistral Small 3.2 24B (free)","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-06-20","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Mistral Small 3.2 24B","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-06-20","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Magistral Small 2506","Mistral:-Magistral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-06-10","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Magistral Medium 2506","Mistral:-Magistral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-06-08","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Magistral Medium 2506 (thinking)","Mistral:-Magistral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-06-08","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Anthropic: Claude Opus 4","Anthropic:-Claude-Opus","Unknown","Unknown","https://openrouter.ai/docs","2025-05-22","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Anthropic: Claude Sonnet 4","Anthropic:-Claude-Sonnet","Unknown","Unknown","https://openrouter.ai/docs","2025-05-22","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Devstral Small 2505 (free)","Mistral:-Devstral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-05-21","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.393Z"
"Mistral: Devstral Small 2505","Mistral:-Devstral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-05-21","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Mistral: Mistral Medium 3","Mistral:-Mistral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-05-07","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Meta: Llama Guard 4 12B","Meta:-Llama-Guard","Unknown","12B","https://openrouter.ai/docs","2025-04-30","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Shisa AI: Shisa V2 Llama 3.3 70B  (free)","Shisa-AI:-Shisa","Unknown","70B","https://openrouter.ai/docs","2025-04-15","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"OpenAI: GPT-4.1","OpenAI:-GPT-4.1","Unknown","Unknown","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"OpenAI: GPT-4.1 Mini","OpenAI:-GPT-4.1","Unknown","Unknown","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"OpenAI: GPT-4.1 Nano","OpenAI:-GPT-4.1","Unknown","Unknown","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"AlfredPros: CodeLLaMa 7B Instruct Solidity","AlfredPros:-CodeLLaMa-Solidity","Unknown","7B","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Conversational,Code Generation,"2025-07-11T07:18:52.394Z"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1 (free)","NVIDIA:-Llama-3.3","Unknown","49B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1","NVIDIA:-Llama-3.3","Unknown","49B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 (free)","NVIDIA:-Llama-3.1","Unknown","253B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1","NVIDIA:-Llama-3.1","Unknown","253B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Meta: Llama 4 Maverick (free)","Meta:-Llama-Maverick","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Meta: Llama 4 Maverick","Meta:-Llama-Maverick","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Meta: Llama 4 Scout (free)","Meta:-Llama-Scout","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Meta: Llama 4 Scout","Meta:-Llama-Scout","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Mistral: Mistral Small 3.1 24B (free)","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-03-17","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Mistral: Mistral Small 3.1 24B","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-03-17","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"OpenAI: GPT-4o-mini Search Preview","OpenAI:-GPT-mini","Unknown","Unknown","https://openrouter.ai/docs","2025-03-12","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"OpenAI: GPT-4o Search Preview","OpenAI:-GPT-Search","Unknown","Unknown","https://openrouter.ai/docs","2025-03-12","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Nous: DeepHermes 3 Llama 3 8B Preview (free)","Nous:-DeepHermes-Llama","Unknown","8B","https://openrouter.ai/docs","2025-02-28","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"OpenAI: GPT-4.5 (Preview)","OpenAI:-GPT-4.5","Unknown","Unknown","https://openrouter.ai/docs","2025-02-27","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Anthropic: Claude 3.7 Sonnet","Anthropic:-Claude-3.7","Unknown","Unknown","https://openrouter.ai/docs","2025-02-24","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Anthropic: Claude 3.7 Sonnet (thinking)","Anthropic:-Claude-3.7","Unknown","Unknown","https://openrouter.ai/docs","2025-02-24","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Anthropic: Claude 3.7 Sonnet (self-moderated)","Anthropic:-Claude-3.7","Unknown","Unknown","https://openrouter.ai/docs","2025-02-24","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.394Z"
"Mistral: Saba","Mistral:-Saba","Unknown","Unknown","https://openrouter.ai/docs","2025-02-17","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.395Z"
"Dolphin3.0 R1 Mistral 24B (free)","Dolphin3.0-Mistral-24B","Unknown","24B","https://openrouter.ai/docs","2025-02-13","freemium","Unknown",Text Generation,"2025-07-11T07:18:52.395Z"
