name,publisher,country,source,accessType,modelSize,license,releaseDate,sourceUrl,inferenceSupport,capabilities,discoveryTimestamp,validationStatus
"gemini-pro-vision","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemini-1.5-pro","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemini-1.5-flash","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemma-2b","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemma-7b","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemma-2-9b","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemma-2-27b","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-2-7b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-2-13b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-2-70b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3-8b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3-70b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3.1-8b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3.1-70b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3.1-405b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3.2-1b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"llama-3.2-3b","Meta","US","Company","Open Source","Unknown","Custom Open Source","Unknown","https://llama.meta.com/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"mistral-7b","Mistral AI","France","Company","Open Source/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://docs.mistral.ai/getting-started/models/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"mixtral-8x7b","Mistral AI","France","Company","Open Source/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://docs.mistral.ai/getting-started/models/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"mixtral-8x22b","Mistral AI","France","Company","Open Source/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://docs.mistral.ai/getting-started/models/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"mistral-large","Mistral AI","France","Company","Open Source/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://docs.mistral.ai/getting-started/models/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"mistral-small","Mistral AI","France","Company","Open Source/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://docs.mistral.ai/getting-started/models/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"codestral","Mistral AI","France","Company","Open Source/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://docs.mistral.ai/getting-started/models/","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"command","Cohere","Canada","Company","Free Tier/Commercial API","Unknown","Proprietary","Unknown","https://docs.cohere.com/docs/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"command-light","Cohere","Canada","Company","Free Tier/Commercial API","Unknown","Proprietary","Unknown","https://docs.cohere.com/docs/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"command-r","Cohere","Canada","Company","Free Tier/Commercial API","Unknown","Proprietary","Unknown","https://docs.cohere.com/docs/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"command-r-plus","Cohere","Canada","Company","Free Tier/Commercial API","Unknown","Proprietary","Unknown","https://docs.cohere.com/docs/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
